,url,title,salary,company_name,description,company_verified,adress,employment_mode,experience,parttime,accept_temporary,creation-time,tag
0,https://ufa.hh.ru/vacancy/51430971,Junior Backend Developer,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",ООО Смартфорс,"Мы группа разработчиков-энтузиастов SmartForce, наша основная специализация – тюнинг продуктов Atlassian (Jira, Bitbucket, Confluence). Наши программные решения позволяют расширить базовый функционал и сделать разработку удобнее. Что нужно делать:  разрабатывать и внедрять новый функционал в популярном продукте; обеспечивать синхронизацию внешних репозиториев пользователей; работать с Atlassian API и GitHub API; улучшать существующие приложения; участвовать в разработке архитектуры новых приложений.  Наш стек: Java / Atlassian SDK / Golang / Node.js / Docker / Git (Github, Bitbucket) / Github Actions / AWS (EC2, S3). Что мы хотим увидеть:  опыт работы с любым бэкенд языком (Java, C ++ / C, Go и др.); умение работать в и с Linux; понимание принципов ООП; инженерное мышление; английский на уровне чтения тех. документации и переписки с носителями языка.  Мы предлагаем - трудоустройство по ТК (полностью белая заработная плата), оплату зависящую от скиллов, гибкий график, позитивную команду, офис в центре города, гибкий подход. Если тебя привлекает возможность сделать вклад в продукт и прокачать свой профессиональный опыт, мы с радостью примем в команду, поделимся своей экспертизой и откроем новые возможности. Уважаемые соискатели, обратите внимание! Наша вакансия предполагает работу из офиса в Омске. Мы готовы принять на работу выпускника или студента технического вуза в том числе. Для успешного трудоустройства необходимо выполнить тестовое задание и успешно пройти техническое собеседование.",True,"Омск, улица Фрунзе, 80","Полная занятость, полный день",1–3 года,False,False,2022-01-26,"['Английский — B1 — Средний', 'Git', 'Linux', 'Java', 'C/C++', 'C#', 'Docker']"
1,https://ufa.hh.ru/vacancy/48726183,Младший Golang разработчик,"{'from': 50000, 'to': 70000, 'gross': False, 'currancy': 'руб.'}",АО Эшелон Технологии,"В нашей расширяющейся команде открыта вакансия младшего golang-разработчика для развития и сопровождения ПО в области защищенности и аудита ИБ. Обязанности:  разработка нового функционала; участие в разработке REST API и WebSocket API.  Требования:  знание одного или нескольких языков (Go, Java, C/C++); знание алгоритмов и структур данных.  Будет плюсом:  понимание многопоточности; опыт работы с NoSQL базами данных; Linux - свободное использование в разработке, владение командной строкой; понимание принципов работы компьютерных сетей, принципов обеспечения сетевой безопасности; опыт руководства в разработке ПО; широкий кругозор в ИТ и ИБ.  Условия:  полный рабочий день в офисе; гибкое планирование своего рабочего дня; заработная плата по результатам собеседования; оформление по ТК; офис в 12 минутах ходьбы от м. Электрозаводская или Преображенская площадь; оплата мобильной связи; повышение квалификации в учебном центре компании; молодой, активный и профессиональный коллектив.",True,"Москва, Электрозаводская улица, 24","Полная занятость, гибкий график",1–3 года,False,False,2022-01-24,"['Go', 'GoLang', 'NoSQL', 'Базы данных', 'Java', 'C++']"
2,https://ufa.hh.ru/vacancy/50220128,Junior Go разработчик (Core Team),"{'from': 50000, 'to': False, 'gross': False, 'currancy': 'руб.'}",amoCRM,"amoCRM - стабильная и динамично развивающаяся IT-компания, более 10-ти лет на международном рынке, один из лидеров в области разработки системы учёта клиентов. Мы разрабатываем облачную CRM-систему для автоматизации работы отделов продаж и помогаем нашим клиентам вести их бизнес. Мы разрабатываем большую систему, состоящую из множества сервисов, которые находятся под большой нагрузкой (десятки тысяч запросов в секунду). Многие из наших сервисов написаны на Go. Мы ищем в московский офис в продуктовую команду начинающих go-разработчиков, которые хотят раскрыть свой потенциал и быстро развить свои скиллы. Мы открыты к сотрудничеству с разработчиками разного уровня. Вы можете ещё учиться в ВУЗ-е - мы готовы рассмотреть кандидатов с гибким графиком (но не менее 30-ти рабочих часов в неделю). Даже если у вас нет коммерческого опыта, но есть свои проекты, вы хотите развиваться и получать новые компетенции - мы обязательно рассмотрим ваше резюме! Что вас ждёт?  Проектирование и разработка нового функционала, исправление ошибок в существующем; Возможность познакомиться и разобраться с большим, высоконагруженным проектом и его архитектурой; Возможность гибкого графика, чтобы совмещать работу с учебой (от 30-ти часов в неделю); Работа в команде профессионалов; Адекватное финансовое вознаграждение; Быстрый рост в компании по мере роста компетенций.  Требования к кандидату:  Минимальный опыт разработки на Golang, при этом опыт может быть не коммерческим, но должны быть логически завершенные проекты, которые покажут, что вы увлеченно, пусть даже дома для себя, развиваетесь и пишите приложения на Golang Базовые знания реляционных баз данных Стремление учиться и развиваться  Будет преимуществом, если вы:  Знаете основы Git  Работали с протоколами gRPC, Rest, TCP, Websocket, HTTP   Умеете профилировать запросы (Opentracing, jaeger)   Работали с Docker/Kubernetes   Участвовали в разработке высоконагруженных сервисов на языке Golang   Умеете структурно мыслить, а также умеете разбивать проект на подзадачи   Условия работы:  Работа в офисе в центре Москвы в шаговой доступности от м. Таганская; График 5/2, начало рабочего дня в промежуток с 10 до 11 утра; Возможность гибкого графика, чтобы совмещать работу с учебой (но не менее 30-ти часов в неделю); Работа над интересным международным проектом в технически сильной команде; Возможность карьерного и профессионального роста; Без бюрократии, без дресс-кода; Бесплатные печенье, чай, кофе; 50% компенсация питания в офисе.",True,"Таганская, Москва, Николоямская улица, 28/60","Полная занятость, полный день",не требуется,False,False,2022-01-25,"['Docker', 'Git', 'Golang', 'Go', 'Backend']"
3,https://ufa.hh.ru/vacancy/50950628,IOS разработчик (junior),"{'from': 100000, 'to': False, 'gross': False, 'currancy': 'руб.'}",ООО Гора Студио,"Компания GORA Studio ищет талантливого разработчика мобильных приложений iOS (Swift), который умеет делать приложения быстрыми, простыми и отказоустойчивыми. Расширяем команду для реализации новых проектов.У нас интересные задачи и нет бюрократии.Верим в best practices и применяем их в разработке. Что предстоит делать:  разбивать крупные задачи на этапы и подзадачи писать качественный код на Swift взаимодействовать с backend-разработчиками, UX/UI-дизайнерами, project-менеджерами и тестировщиками уметь оценивать задачи и укладываться в дедлайны  Минимальные требования:  отличное знание Swift опыт разработки под iOS от 1 года придерживаться SOLID и Clean Architecture уметь использовать библиотеки и технологии Realm/CoreData, Google Maps API, Alomofire, CocoaPods, Firebase внедрять и анализировать Google Analytics (Firebase) опыт работы с GitHub или Bitbucket обязательно Jira технический английский язык (иногда чтение документации или ТЗ)  Плюсом будет, если:  есть приложения в AppStore (свои или совместные с прошлых работ) работали с ARKit (дополненная реальность) умеете писать Unit-тесты для своих приложений сверстаете все, что нужно из Figma есть понимание основ разработки backend (golang, java) и баз данных (PostgreSQL) знаете другие языки программирования  Мы предлагаем:  адекватная заработная плата по результатам собеседования и пересмотром по мере роста сотрудника разумный и дружелюбный коллектив официальное трудоустройство с первого дня прекрасный офис на Петроградской чай/кофе/плюшки/корпоративы/тимбилдинги за наш счет всегда гибкое начало и конец рабочего дня возможность иногда работать из дома востребованные и полезные проекты для рынка",True,"Спортивная, Чкаловская, Санкт-Петербург, Большой проспект Петроградской стороны, 29А","Полная занятость, полный день",1–3 года,False,False,2022-01-26,"['Swift', 'Xcode', 'Steve Jobs', 'Jira', 'Agile', 'Kanban', 'Git', 'Slack', 'AR', 'Figma', 'iOS', 'ARKit']"
4,https://ufa.hh.ru/vacancy/50144902,Junior Backend-разработчик,"{'from': 30000, 'to': 60000, 'gross': False, 'currancy': 'руб.'}",ООО НЕОСОФТ,"НЕОСОФТ – это российская ИТ-компания, специализирующаяся на разработке в сфере E-Commerce. Мы являемся основным исполнителем работ по разработке новой платформы для уже существующего маркетплейса федерального масштаба и нам нужно больше светлых голов и горящих сердец. Компания открыта для целеустремленных людей, которые стремятся к новым знаниям, постоянному развитию и не избегают сложных задач! У нас работает команда профессионалов по направлениям: разработки, аналитики, тестирования, внедрения и техподдержки. Мы готовы рассмотреть кандидатов со знаниями других технологий: C#, C++, Java, Python,а так же fronend разработчиков желающий освоить backend Что для нас важно:  Node.js JavaScript TypeScript SQL (MySQL/Postgresql) Git  Чем придется заниматься:  Асинхронный, синхронный JS/TS (или желание его освоить) SQL (или желание его освоить) Серверный JS/TS (NodeJS/Express) Разработка ведется на typescript (потому обязательно готовность его освоить)  Условия труда:  Работа в просторном комфортном офисе в центре города (5 минут от ст.метро Алабинская) Современное оборудованное рабочее место Работа в коллективе профессионалов, дружественная атмосфера, без бюрократии Интересные задачи и проект Корпоративная библиотека Оформление по ТК РФ Возможность выбрать график работы  Почему стоит работать у нас?  Прокачаешь свои скилы в разработке веб-сервисов на Node.js Возможность обоснованно влиять на стратегические планы и используемые технологии (работа с владельцами напрямую) У нас действительно много сложных, интересных и масштабных задач  Заинтересовало? Откликнись на вакансию!",True,"Самара, Ново-Садовая улица, 44","Полная занятость, гибкий график",1–3 года,False,False,2022-01-26,"['PHP', 'PHP5', 'Golang', 'MySQL', 'HTML', 'CSS', 'ООП', 'JavaScript', 'TypeScript', 'Node.js']"
5,https://ufa.hh.ru/vacancy/51715857,Junior Backend-разработчик,"{'from': 50000, 'to': False, 'gross': False, 'currancy': 'руб.'}",ООО Пауэр Тех,"Мы ищем начинающего специалиста, заинтересованного в росте и развитии как Backend-разработчик, готового присоединиться к команде и изучать много нового и интересного. Чем предстоит заниматься:  Работать на коммерческом проекте, делать реальные задачи, писать на актуальном стеке технологий, взаимодействовать с опытными разработчиками Развивать свои скиллы, совершенствовать знания и умения Работать в команде, взаимодействовать с менеджерами, разработчиками, тестировщиками и другими специалистами.  Что для нас важно:   Опыт работы на одном из языков программирования Node.js или Golang. Рассматриваем кандидатов с опытом на языках PHP, Python, C, C++, C#, Java.   Знание основ SQL   Желание развиваться как бэкенд-разработчик   Знание английского языка на уровне чтения технической документации.   Огромным преимуществом будет:   Опыт разработки, свои проекты или любая коммерческая разработка   Опыт работы с одной из баз данных PostreSQL или MongoDB   Опыт работы с Docker.   Почему именно мы?  8-часовой рабочий день с возможностью выбрать себе удобные часы работы Официальное трудоустройство, оплачиваемый отпуск и больничный Индивидуальное предложение по зарплате для каждого кандидата по результатам собеседования Возможность развиваться профессионально и личностно Возможность работать с англоязычным заказчиком Комфортный офис формата open-space в центре города Курсы английского Обеды, чай, кофе и сладости за счет компании.",True,"Рязань, улица Павлова, 5","Полная занятость, полный день",1–3 года,False,False,2022-01-25,"['Node.js', 'бэкенд', 'SQL', 'Golang']"
6,https://ufa.hh.ru/vacancy/51805604,"Junior Full Stack Developer (PL/pgSQL, Go, C)","{'from': False, 'to': False, 'gross': True, 'currancy': None}",ООО ЯСП,"ООО ""ЯСП"" – центр внедрения Группы компаний Luxms. Мы ищем Junior Full Stack разработчика для развития функционала Luxms BI (Luxmsbi.com), а также поддержки и развития решений, развернутых на Luxms BI. Платформа Luxms BI реализована на передовом технологическом стеке (Front-End – кросс браузерный JavaScript/CSS с адаптивной версткой, Back-end – под Linux: nginx, PostgreSQL/Greenplum, JVM), обеспечивает массивно-параллельную обработку (MPP) потоков данных высокой интенсивности. Применяются технологии in-memory для высокоскоростной обработки и хранения данных. MPP BI – первое в мире решение, способное развертываться на множестве узлов, в режиме отказоустойчивого кластера с балансировкой нагрузки и горячим резервированием, обеспечивать прогнозную и текстовую аналитику, а также подготовку данных к визуализации. Обязанности:  Написание логики application server на PL/pgSQL; Поддержка и развитие PostgreSQL extensions на С (open sourced); Поддержка и развитие Luxms BI Gateway (Golang).  Требования:  Знание деталей стандарта HTTP; Знание и опыт PostgreSQL (PL/pgSQL); Хорошее понимание парадигм программирования: функциональное, ООП,процедурное; Опыт написания кода на 3-х основных языках, например участие вOpenSource проектах; Широкий кругозор в IT, желание исследовать новое, искать эффективныерешения ""нерешаемых"" проблем в условиях технических ограничений; Знание Clojure, Rust, Nim будет плюсом; Опыт работы с BigData (Hadoop, Kafka) будет плюсом; Опыт работы с SQL/NewSQL/NoSQL будет плюсом.  Условия:  Работа в офисе;  Полная занятость;   Конкурентоспособная белая заработная плата (обсуждается индивидуально);   Официальное оформление, соблюдение норм Трудового Кодекса РФ;   ДМС.",True,"Лиговский проспект, Санкт-Петербург, улица Константина Заслонова, 7","Полная занятость, полный день",1–3 года,False,False,2022-01-26,"['PostgreSQL', 'ООП', 'SQL', 'Opensource', 'Big Data', 'C/C++']"
7,https://ufa.hh.ru/vacancy/51705997,"Стажёр-разработчик Go, Группа разработки ""Тарификатор"" / Торговая площадка","{'from': False, 'to': False, 'gross': True, 'currancy': None}",Ozon Информационные технологии,"Начни свою карьеру в Ozon! Хочешь приобрести опыт работы в реальных бизнес-проектах одной из крупнейших e-commerce компаний, попробовать применить полученные в университете знания на практике? Тогда откликайся на позицию стажера в Ozon! Здесь ты найдешь стажировки по нескольким направлениям: IT, аналитика, финансы, коммерция, маркетинг и PR, дизайн, а еще поддержка бизнеса. Прямо сейчас уже более 700 стажеров по всей стране перенимают знания от опытных наставников и помогают сделать жизнь миллионов людей проще и удобнее. Вместе мы сможем создать лучший в России e-commerce. Приходи делать его вместе с нами!Мы пишем тарификатор для маркетплейса, который в пике держит до 40000 запросов в секунду. Наша команда это бэкендеры и QA. Сейчас у нас 7 человек в команде вместе с руководителем.Тебе предстоит:  Разрабатывать и внедрять новые микросервисы; Поддерживать имеющийся рабочий код; Писать код на Golang и покрывать его unit тестами;  Участвовать в построении платформы, основанной на современных технологиях: GO, Postgresql, Kafka.   Мы ожидаем:  Минимальный опыт разработки на GO, C# или PHP;  Понимание что такое ООП;  SQL на уровне написания простых запросов;  Базовая алгоритмическая подготовка;  Интерес к рынку e-commerce; Готовность работать 30-40 часов в неделю.  Мы предлагаем:  Срочный трудовой договор на 3 месяца, с возможностью дальнейшего перехода на позицию Junior разработчика; Возможность обучиться перспективной профессии на реальных задачах; Динамичный и быстроразвивающийся бизнес, ресурсы, возможность вместе сделать лучший продукт на рынке e-commerce; Профессиональную команду, которой мы гордимся.  А ещё:  Офис: Просторный open-space и рабочие места в современном бизнес-центре Москва-Сити, прекрасные панорамные виды на город, несколько десятков переговорных, мониторы и компьютеры; Парковка в Москва-Сити, частично компенсируемая компанией; Питание: На каждом этаже есть кухни, где всегда есть фрукты и овощи, чай и вкусный кофе, и, конечно, печеньки; ужины по вечерам, если пришлось задержаться в офисе; Отдых: Большой актовый зал, где проходят корпоративные мероприятия meet-ups & TechTalks; Спорт: Беговой клуб, йога по вечерам в офисе, теннисные столы, корпоративные программы в World Class, X-Fit, 5 элемент; Обучение: В нашем офисе регулярно проходят семинары, тренинги, а также мы отправляем сотрудников на внешние профессиональные мероприятия. Преподаватель английского в офисе; Много-много бонусов: Корпоративные программы с партнерами BelkaCar, Skyeng, Mybook, Райффайзенбанк и Сбербанк, программа «Найди коллегу и получи бонус». Условия:официальное оформление (срочный трудовой договор);поддержка опытных менторов;гибкий график по договоренности с руководителем;перспектива роста до штатного специалиста;свобода в реализации идей;прекрасный офис в Сити с панорамными видами;фрукты, снеки и безлимитный кофе на кухнях, бесплатные ужины для особых трудяг;скидки в компаниях-партнёрах;общение на «ты» и никакого дресс-кода.",True,"Деловой центр, Международная, Москва, Пресненская набережная, 10","Стажировка, полный день",не требуется,False,False,2022-01-25,"['PostgreSQL', 'Английский язык', 'Договорная работа', 'Работа в команде', 'Спортивное питание', 'Golang']"
8,https://ufa.hh.ru/vacancy/50866957,Junior Backend Developer,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",ООО Смартвэй,"Кто мы: Smartway - первый разработчик IT решений для управления командировками в России. Сейчас у нас более 4 500 клиентов среди среднего и крупного российского бизнеса, планируем в течение трех лет удвоить этот показатель. Входим в топ-3 крупнейших бизнес-travel компаний в России. Являемся резидентами технопарка ""Сколково"". В январе 2018 года стратегическим акционером компании стал холдинг “1С”, что позволило нам ускорить развитие сервиса. Наши клиенты - это компании лидеры в своих сферах, например: Додо Пицца, Тинькофф, Деловые Линии, HeadHunter, М.Видео. Нас уже более 200 человек в команде на два офиса в Пензе и в Москве. Почему мы?  Мы активно инвестируем в разработку и компетенции своих сотрудников. Работаем в небольших кросс-функциональных командах, поэтому все сотрудники в равной степени участвуют во всех процессах. У нас нет лишней бюрократии, т.к. наша цель максимально быстро решать бизнес-задачи, а не готовить отчет о проделанной работе. Строим распределенные процессы, чтобы в дождливые дни можно было поработать из дома.  Наш стек: .Net / .Net Core, Golang, Docker, SQL, PostgreSQL, MongoDB, RabbitMQ, Elastic, Python. Вы нам подходите, если:  есть опыт и желание писать на .NET (C#), Golang; умеете работать с git; есть понимание принципов SOLID; есть опыт работы с СУБД; ответственно подходите к работе; дисциплинированы и самостоятельны; умеете работать в команде и слушать других людей; желаете развиваться и не боитесь делать то, с чем раньше не сталкивались; открыты к получению новых знаний.  Что мы предлагаем:  Полноценное использование ваших способностей на интересных и сложных задачах; Комфортный и современный офис; Оформление в соответствии с ТК РФ; Достойный уровень заработной платы; Возможности карьерного и профессионального роста; Скидки на покупку авиа, ж/д билетов и бронирование гостиниц для личных путешествий; Приятные мелочи, которые скрашивают рабочие будни.",True,"Пенза, Московская улица, 39","Полная занятость, полный день",1–3 года,False,False,2022-01-25,"['MS SQL', 'C#', '.NET Framework', 'ASP.NET', 'Работа в команде', 'Golang', '.NET Core']"
9,https://ufa.hh.ru/vacancy/50748591,Стажер JS+Golang Fullstack,"{'from': False, 'to': False, 'gross': True, 'currancy': None}",NIX,"Ты получишь отличную теоретическую базу от экспертов NIX Solutions и практические навыки в области Fullstack-разработки по направлению Go и VueJS. Go достаточно молодой язык, который сможет выучить любой начинающий. При этом Go используют многие мировые IT-корпорации и создают сложные программные решения. Со скилами после обучения ты можешь попробовать свои силы на вакансию Junior Go Developer в NIX Solutions. Обучение бесплатное. Набор в проект уже открыт. КОМУ ПОДОЙДЕТ?  новичкам, которые хотят начать свой путь в IT; начинающим разработчикам; специалистам из других сфер, желающим войти в IT.  ЧТО МЫ ОЖИДАЕМ ОТ ТЕБЯ:  знание теории о работе Интернета: из чего он состоит и как происходит обмен информацией в сети; понимание работы СУБД (любой, одной из), базовые знание SQL и принципов нормализации БД; базовые знания языка Go (как строить циклы, условия и т.д.); базовое понимание concurrency модели языка; базовые знания языка разметки HTML (основные теги, структура страницы); понимание работы любой системы контроля версий.  ЗА ВРЕМЯ ОБУЧЕНИЯ ТЫ:  узнаешь основы работы в окружении Linux; научишься устанавливать и настраивать web-серверы; будешь работать с Git; ознакомишься с HTML и CSS; узнаешь все про Golang и необходимые аспекты работы с языком; изучишь базы данных; получишь базовые знания о JavaScript; научишься работать с фреймворком VueJS, от основ до введения во Vuex; узнаешь и многое другое!  КАК ПОПАСТЬ НА ОБУЧЕНИЕ:  Необходимо заполнить резюме на сайте, как только будет открыт набор в проект. Пройти тестирование у нас или в вузе (следи за обновлениями в Телеграмме, Инстаграме или Фейсбуке); Пройти собеседование и получить положительный результат.  КАК ПРОХОДИТ ОБУЧЕНИЕ:  3 месяца; формат: 3 дня в неделю по 4 часа в офисе (формат обучения зависит от ситуации на момент старта и может быть изменен на онлайн); старт: ноябрь/декабрь.  ЧТО ДАЛЬШЕ: После успешного завершения обучения ты можешь попробовать свои силы на вакансию Junior Go Developer в NIX Solutions. Карантин — это не повод поставить жизнь на паузу! Заполняй краткое онлайн-резюме уже сейчас!",,"Харьков, улица Каразина, 2","Стажировка, полный день",не требуется,False,False,2022-01-25,"['Git', 'HTML', 'JavaScript', 'CSS', 'Golang']"
