,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/47695836?from=vacancy_search_list&query=golang%20senior,Senior Golang developer (back-end),от 4 500 до 7 000 USD на руки,Wikiroutes,True,"Санкт-Петербург, Пискаревский проспект, 25","Полная занятость, удаленная работа",3–6 лет,False,False,"Добрый день! Мы связаны с общественным транспортом уже 12 лет. С 2009 года работает наш проект wikiroutes.info, которым уже воспользовалось 150 млн. человек со всего мира. Сейчас мы делаем делаем новый проект совместно с нашими партнерами (дочерняя компания MERCEDES). О проектe: MAAS (mobility as a service), маршруты, транспорт, поиск оптимального мультимодального маршрута, mobile ticketing, кубернетис, огромные скорости работы - вся идея проекта - построить самый быстрый движок в мире. MAAS - самая высокофинансированное направление до 2030 года по отчетам McKinsey К дополнении к 7 Golang разработчикам мы ищем еще 6. Нанимаем быстро. 2 технических интервью за неделю и все. Мы набираем сильную команду под управлением сильных менеджеров из Германии. Работа в команде с дата-саентистами, rnd-менеджерами и доменными экспертами.   - Официальное трудоустройство - график 5/2 со всеми выходными/праздниками - премии - дмс со стоматологией (для спб) - удаленная работа - митинги на русском языке (изредка на английском тк также есть разработчики из Европы) - зп 4500-7000 долларов   С уважением Александр Мустафин    ",Вакансия опубликована 30 сентября 2021 в Санкт-Петербурге,[]
1,https://nn.hh.ru/vacancy/48181162?from=vacancy_search_list&query=golang%20senior,Golang developer (middle),от 200 000 до 400 000 руб. до вычета налогов,Ларионова Наталия Михайловна,False,"Москва, Верейская улица","Полная занятость, полный день",1–3 года,False,False,"Если Вы Senior Golang да еще и фулстак, то зп умножай на два! В международную компанию требуется программист Golang в идеале, но также готовы рассмотреть человека с опытом в разработке на golang от 1 лет а также рассматриваем php c начинающим опытом в го Обязанности:  программировать участвовать в командных митингах участвовать в митингах с заказчиком генерить идеи работа с CRM быть в front end и back end даже если специализируетесь в чем-то одном  Требования:   Стек (must have): - golang – понимание внутреннего устройства, ориентироваться в инфраструктуре пакетов; - пакет gin; - опыт работы с rest API; - опыт работы с очередями; - знание основных паттернов; - sql – сложные запросы, индексы, профилирование запросов; - git – git flow; - docker – мультистейдж билды, security context; - опыт разработки микросервисов.   Стек (необязательно): - gitlab ci/cd; - kubernetes – суметь написать helm чарт и задеплоить; - NATS; - опыт работы с JWT; - владение прочими языками программирования. - опыт работы с ORM   Личные качества: - уметь быстро ориентироваться в чужом коде - технический английский - подвижность - коммуникабельность - стрессоустойчивость - ответственность за результат   Наличие кода, который можно посмотреть, либо готовность выполнить небольшое задание.   Условия:  Уютный офис Молодой коллектив Стабильная зп Корпоративный фитнес Оплата такси от дома до работы и обратно готовы помочь с переездом ",Вакансия опубликована 1 октября 2021 в Москве,"['Golang', 'Git', 'Docker', 'Kubernetes', 'Английский язык', 'Опытный пользователь ПК', 'C/C++', 'MS Visual C++', 'PHP']"
2,https://nn.hh.ru/vacancy/48373147?from=vacancy_search_list&query=golang%20senior,Senior Golang разработчик,от 320 000 до 400 000 руб. до вычета налогов,IT_Selection,True,Москва,"Полная занятость, полный день",3–6 лет,False,False,"Уважаемые соискатели, в настоящее время, у нашего клиента, компании в сфере онлайн торговли, открыта вакансия Senior Golang разработчик. Предстоит работа с платформой, которая представляет собой площадку для управления онлайн торговлей на маркетплейсах, где все каналы продаж представлены в едином окне. Задачи: - Интеграция с множеством сторонних веб-сервисов по API (с Jira, с маркетплейсами WB и Ozon сейчас, в планах увеличить их число). Синхронизация данных, получение данных со сторонних сервисов, их трансляция и редактирование- Разработка внутреннего API, методов, чтобы веб приложение, а в дальнейшем мобильное приложение на iOS и Android могли получать структурированные данные.- Подключение всех сопутствующих БД, внутренних инструментов хеширования Soft skills:● Решать поставленные задачи максимально эффективно в поставленный срок;● Являться командным разработчиком, слышать других и учитывать чужое мнение;● Понимать, что не надо делать overhead там, где это не надо;● Быть самостоятельным и уметь брать на себя ответственность за свои решения;● Считать тестирование неотъемлемой частью разработки;● Спокойно относиться к техническому долгу, так как это нормальный этап в развитии проекта;Будет плюсом:● Профильное высшее образование (математическое или техническое);● Знание Алгоритмов;● Умение работать по гибким методологиям; Технические требования: • Иметь опыт коммерческой разработки ПО на Go не менее 3-х лет, отличное знание языка и экосистемы;• Понимание многопоточности, параллельных вычислений и широко используемых структур данных и алгоритмов;• Понимание основных паттернов проектирования;• Умение работать с контролем версий Git;• Уверенно знаете стек TCP / IP;• Знаете RFC стандартны HTTP / WebSockets;• Работаете с REST / GraphQL;• Знание лучших практик разработки микро-сервисных архитектур, Kubernetes / Docker и опыт продакшен релизов совместно с девопс инженерами;• Имеете опыт написания высоконагруженных систем;• Работаете unix-подобными системами;• Отличное знание SQL и одной из реляционных СУБД.• Сильные навыки решения проблем, желание работать в команде; Оплата труда от 320 000 до 400 000 руб",Вакансия опубликована 29 сентября 2021 в Москве,"['Golang', 'Git', 'TCP/IP', 'REST', 'Kubernetes']"
3,https://nn.hh.ru/vacancy/48446337?from=vacancy_search_list&query=golang%20senior,"Golang Developer backend, Middle/Senior (Remote)",от 2 500 до 4 500 USD на руки,Mascot Gaming,True,"Горьковская, Нижний Новгород, Дальняя улица, 8","Полная занятость, удаленная работа",1–3 года,False,False,"О нас: Mascot Gaming - игровая студия, основанная в 2018. Мы - это сертифицированный и лицензированный провайдер игр для онлайн-казино, продуктами которого пользуется уже более 50 компаний по всему миру. Наша цель - предоставить игрокам захватывающий игровой опыт. Наша команда – специалисты с богатым опытом работы в гемблинг сфере: начиная от наземного оперирования казино и заканчивая кастомной разработкой игровых систем и платформ. Что мы ждем:   Уверенное владение Golang;   Опыт коммерческой разработки от 2-х лет   Умение выстраивать чистую и поддерживаемую архитектуру в приложении;   Понимание принципов работы CI/CD;   Умение работать с системами контроля версий и репозиториями (git, GitLab);   Опыт работы с grpc (protobuf);   Уверенное владение PostgreSQL (или любая другая реляционная СУБД);   Умение работать с NoSQL-базами (redis);   Опыт работы с очередями сообщений (nats, Kafka, RabbitMQ или иное);   Понимание протоколов: TCP, UDP, HTTP, Websocket;   Умение работать с Linux;   Знаете английский язык как минимум на уровне чтения технической литературы и документации;   Будет плюсом опыт с:   Kubernetes   Prometheus   ElasticSearch   Service Mesh (Istio, linkerd)   Что предстоит делать:   Работа в команде с обсуждением решения разных задач;   Разработка и поддержка микросервисов платформы;   Интеграция сторонних платформ;   Работа с системой контейнеризации приложений (docker);   Работа с системой оркестрации контейнеров (kubernetes);   Мы с радостью предложим:   Полностью удаленная работа   Интересные задачи, передовые технологии   Гибкий график начала рабочего дня   Отсутствие бюрократии  ",Вакансия опубликована 1 октября 2021 в Москве,"['PostgreSQL', 'Redis', 'RabbitMQ', 'Git', 'HTTP', 'golang']"
4,https://nn.hh.ru/vacancy/48402009?from=vacancy_search_list&query=golang%20senior,Senior golang developer (team lead),от 350 000 руб. на руки,False,True,Москва,"Полная занятость, удаленная работа",3–6 лет,False,False,"Ведущая телекоммуникационная компания, которая специализируется на создании и развитии собственных электронных систем и сервисов, объединенных в единую экосистему продуктов, которые представляют высокую социальную значимость. Мы уже запустили следующие продукты – видео и телефонная связь, система электронной переписки, сервис денежных переводов и ряд других. Вам предстоит работать в тесном сотрудничестве с разработчиками (React и Golang), менеджерами продукта, аналитиками и дизайнерами и совместно выявлять и решать проблемы пользователей в наших продуктах. В идеале, если руководитель присоединится со своей командой. УДАЛЁННЫЙ формат работы. Что нужно будет делать:   создавать распределенные высоконагруженные системы, рассчитанные под десятки тысяч RPS;   писать целые новые сервисы, которые станут продуктом в продукте;   отлично владеть языком Golang и писать чистый поддерживаемый код;   покрывать код unit/интеграционными тестами;   работать с SQL БД (PostgreSQL/MySQL);   использовать системы очередей и in-memory хранилищ;   работать с Git, Linux/Unix;   Мы гарантируем что:  вы хорошо трудитесь – мы достойно платим (сколько - покажет собеседование); вас трудоустроят по закону: соц. пакет, отпуска, больничные и прочие блага; ваша зарплата точно будет конкурентной и полностью белой; вас обеспечат интересными задачами и проектами – скучно не будет; по итогам закрытия проектов вас будет ждать премия; вы попадёте в коллектив профессионалов в своём деле.   ",Вакансия опубликована 30 сентября 2021 в Москве,"['Golang', 'Управление проектами', 'Управление командой', 'React', 'PostgreSQL', 'MySQL', 'Git', 'Linux', 'Unix']"
5,https://nn.hh.ru/vacancy/47712143?from=vacancy_search_list&query=golang%20senior,Senior Go разработчик,от 300 000 до 600 000 руб. до вычета налогов,PointPay,True,Москва,"Полная занятость, удаленная работа",3–6 лет,False,False,"Golang Разработчик   Обязанности: ● Создание высоконагруженных сервисов / микро-сервисов; ● Разработка интеграции с внешними сервисами; ● Разработка платформы для торговой системы; ● Разработка надежной, безопасной и безотказной экосистемы; ● Решение сложных и интересных задач; Требования: ● Иметь опыт коммерческой разработки ПО на Go не менее 3-х лет, отличное знание языка и экосистемы; ● Понимание многопоточности, параллельных вычислений и широко используемых структур данных и алгоритмов; ● Уверенно знаете стек TCP / IP ; ● Знаете RFC стандартны HTTP / WebSockets; ● Работаете с REST / GRPС (protobuf); ● Знание лучших практик разработки микро-сервисных архитектур, Kubernetes / Docker и опыт продакшен релизов совместно с девопс инженерами; ● Имеете опыт написания высоконагруженных систем; ● Отличное знание SQL и одной из реляционных СУБД. ● Сильные навыки решения проблем, желание работать в сильной команде; Будет плюсом: ● Профильное высшее образование (математическое или техническое); ● Имеете опыт разработки подобных решений (Ставки на спорт/Gambling/Poker/Trade/Exchange) ● Опыт работы с алгоритмами консенсуса; ● Знание Алгоритмов ● Опыт работы с встраивыми базами данных; ● Умение работать по гибким методологиям; Soft skills: ● Решать поставленные задачи максимально эффективно в поставленный срок; ● Являться командным разработчиком, слышать других и учитывать чужое мнение; ● Понимать, что не надо делать overhead там, где это не надо; ● Быть самостоятельным и уметь брать на себя ответственность за свои решения; ● Считать тестирование неотъемлемой частью разработки; ● Спокойно относиться к техническому долгу, так как это нормальный этап в развитии проекта; Условия: ● Возможность карьерного и профессионального роста в международной компании; ● Работа по контракту с зарубежной компанией UK; ● Разработка ведется по гибким методологиям; ● Только удаленная работа; ● Молодой профессиональный коллектив. ● Трудоустройство по бессрочному контракту с UK, с соблюдением принятых норм России.   Ключевые навыки: GoLang, K8S, Docker, Алгоритмы, Raft",Вакансия опубликована 1 октября 2021 в Москве,"['Golang', 'SQL', 'Kubernetes', 'Go', 'Raft']"
6,https://nn.hh.ru/vacancy/47993388?from=vacancy_search_list&query=golang%20senior,Senior/Middle GoLang Developer,от 150 000 до 400 000 руб. на руки,ООО НЬЮЭРАМЕДИА,True,"Москва, Пресненская набережная, 12","Полная занятость, полный день",1–3 года,False,False,"КОМПАНИЯ «TERRA MANAGEMENT GROUP» развивает бизнес-проекты в сферах финансов и IT. За последний год мы выросли в 5 раз! Нашей IT-команде не хватает рук для проверки и реализации всех идей и гипотез. Поэтому мы ищем крутых специалистов, чтобы ускорить этот процесс. Компания развивается только за счет собственных инвестиций и фин-тех компании, куда после исп. срока вам и будет предложено трудоустройство. Сегодняшние задачи:⁃ Написание онлайн-сервисов по проведению торгов на биржах и управления капиталом;⁃ Написание нейросетевых архитектур под наши задачи;⁃ Написание твердых разработок, влияющие на автоматизацию важных бизнес-процессов;⁃ Продумывать легко-изменяемую, гибкую, отказоустойчивую архитектуру. Требования :⁃ Опыт разработки на GoLang 2+ лет;⁃ Опыт написания unit-тестов;⁃ Интерес к миру блокчейн и смарт-контрактинга;⁃ Написания микро сервисов, понимание микро сервисной архитектуры;⁃ Понимание многопоточности, параллельных вычислений;⁃ PostgreSQL (EXPLAIN, индексы, сложные запросы на выборку, transaction isolation level, хранимые функции, работа с json внутри хранимых функций);⁃ pprof, dlv;⁃ Git;⁃ HTTP, REST, WebSocket;⁃ Умение писать unit тесты. Будет плюсом:⁃ Знание NoSQL (MongoDB);⁃ Опыт работы с Node.js;⁃ API известных бирж;- GraphQL, gRPC;⁃ Redis;⁃ RabbitMQ/Kafka/NATS;⁃ Docker;⁃ Опыт работы в банковской сфере. Наш основной стек - GoLang/PostgreSQLТак же пишем на - Python/NodeJS/MongoDB Условия:• Работа над разработками в сфере финансовых услуг;• Сильная команда из 10+ человек;• Москва, Full-time. Гибкий график работы обсуждается на собеседовании;• Совместная работа с сильными бизнес-лидами;• Ежедневные митинги на русском языке. Адрес офиса:• г. Москва, Пресненская набережная, 12 Мы делаем топовые технологии, улучшаем скорость проведения операций и скоро изменим весь мир!  ",Вакансия опубликована 30 сентября 2021 в Москве,"['gRPC', 'Blockchain', 'Блокчейн', 'NoSQL', 'PostgreSQL', 'Node.js', 'MongoDB', 'Golang', 'Многозадачность']"
7,https://nn.hh.ru/vacancy/48376447?from=vacancy_search_list&query=golang%20senior,Senior Golang Developer,от 220 000 до 350 000 руб. на руки,Scalable Solutions,True,Новосибирск,"Полная занятость, удаленная работа",3–6 лет,False,False,"Scalable Solutions – международная технологическая компания, которая создает современные финтех решения. С 2012 года мы разрабатываем программное обеспечение для трейдинга, которое служит миллионам пользователей самых известных и заслуживающих доверия торговых платформ на рынке. В Scalable Solutions работают более 160 инженеров и разработчиков, обладающих неоспоримо обширным опытом в сфере финансов, высоконагруженных систем и криптографии. Наша компания является ведущим технологическим провайдером на рынке цифровых активов. Мы ищем Senior Golang Developer в команду разработки торговой платформы. Обязательные требования:  Отличное знание алгоритмов и структур данных и умение ими пользоваться в реальной жизни. Отличное знание Golang. Умение педантично учитывать корнер-кейсы при реализации систем с распределенными состояниями. Самостоятельность и ответственность.  Будет плюсом:  Знание Rust, Python, Node.js; Опыт разработки Websocket API; Знание, зачем нужен Decimal :)  Примеры задач, которые мы решаем:  Разработать компонент для интеграции с 10+ платежных систем (так, чтобы новую можно было добавить за 3 дня); Внедрение service-discovery.  Кому обычно с нами интересно:  Тем, кто хочет в продуктовую компанию. Тем, кто хочет разрабатывать и проектировать высоконагруженные отказоустойчивые системы с живыми нагрузками порядка 100к rps и запасом на рост.  Мы предлагаем:  Remote-first (но при желании можно работать из офиса); Гибкий график; Внимание ко всем вашим пожеланиям. ",Вакансия опубликована 29 сентября 2021 в Новосибирске,"['Алгоритмы и структуры данных', 'Golang', 'Rust', 'Python', 'Node.js', 'Websockets', 'Высоконагруженные системы']"
8,https://nn.hh.ru/vacancy/38016148?from=vacancy_search_list&query=golang%20senior,Middle/Senior Golang developer,от 200 000 до 300 000 руб. на руки,Pushwoosh,True,"Москва, Пресненская набережная, 6с2","Полная занятость, полный день",3–6 лет,False,False,"Мы - Pushwoosh – глобальный хайлоад продукт для разработчиков и владельцев мобильных приложений и сайтов. Мы предоставляем решения для отправки пуш-уведомлений как стартапам, так и компаниям с многомиллионными аудиториями, и обрабатываем более двух миллиардов API-запросов ежедневно. Чтобы обеспечить безотказную работу наших решений, мы используем самые разнообразные технологии и стремимся осваивать новые! В нашем арсенале Golang+PHP, Kafka, Kubernetes, MongoDB, Cassandra и многое другое. Все это стало возможно лишь благодаря уникальной команде. Back-end мы пишем на двух языках - Golang (90%) и PHP (10%). Сейчас мы расширяем команду разработки, поэтому у нас открыты вакансии Middle и Senior Back-end developer. Тебе предстоит окунуться в самый настоящий Highload и BigData, а именно:  Создавать распределенные высоконагруженные системы, рассчитанные под десятки тысяч RPS; Работать над системами сбора и аналитики данных, способных обрабатывать терабайты информации; Писать целые новые сервисы, которые станут продуктом в продукте.  Мы ждем:  Отличное владение Golang, умение писать чистый поддерживаемый код; Непреодолимое желание покрывать код unit/интеграционными тестами; Уверенную работу с SQL БД (PostgreSQL/MySQL); Опыт использования систем очередей и in-memory хранилищ; Навыки работы с git, Linux/Unix;  Опыт работы с MongoDB, Kubernetes, Kafka станет твоим конкурентным преимуществом! Мы предлагаем:  работу в стабильной продуктовой компании; работа в офисе или полная удаленка; участие в успешном проекте мирового уровня с клиентами из Fortune 1000; команду профессионалов, молодой и дружный коллектив; официальное трудоустройство по ТК РФ; компенсация спорта и обучения английскому языку; ДМС после прохождения испытательного срока; возможность посещать профильные конференции за счет компании; никакой бюрократии с часами, главное - delivery! ",Вакансия опубликована 30 сентября 2021 в Москве,"['PostgreSQL', 'Golang']"
9,https://nn.hh.ru/vacancy/48435721?from=vacancy_search_list&query=golang%20senior,Senior Golang developer,от 4 000 до 5 000 USD до вычета налогов,ООО Fortu Wealth,True,Великобритания,"Полная занятость, полный день",3–6 лет,False,False,"Ищем Golang developer с опытом разработки от 4-х лет, владеющего следующими знаниями и навыками:  Go; GRPS; Brotobuf; PostgreSQL; стандартных пакетов; SQL на уровне написания запросов; разработка API и умение разобраться в стороннем API (веб-сервисы); опыт работы с системой контроля версий Git: Bitbucket & Github; знание Unix/Linux-систем; понимание процесса разработки Web-приложений; готовность разбираться и работать с чужим кодом; английского языка на уровне чтения документации.  Мы ожидаем что у вас есть:  понимание микросервисной архитектуры; опыт работы с Redis и RabbitMQ. ",Вакансия опубликована 1 октября 2021 в Великобритании,"['Git', 'Golang', 'Linux', 'PostgreSQL', 'Redis']"
