,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/47562707?from=vacancy_search_list&query=golang,Golang Developer (Back-End Development),от 3 500 до 5 000 USD на руки,InterWeb OÜ,True,Москва,"Полная занятость, удаленная работа",3–6 лет,False,False,"TrafficOx - это дочка Эстонской компании (EU) которая специализируется на онлайн рекламе и маркетинге. У нас более 20 лет опыта работы в индустрии и сейчас мы расширяем продуктовую ветку предоставляя нашей обширной базе пользователей и партнеров платформу для продажи/обмена трафика. TrafficOx - это отличная возможность присоединится к перспективному проекту и прокачать свои технические навыки работая над сложными задачами.   Скоп задач с которыми придется работать включает в себя:  - Высокая нагрузка, до 1 миллиарда запросов в сутки - Геораспределенная система, обеспечивающая заданный SLA в ключевых точках земного шара - Микорсервисная архитектура   Минимальные требования к кандидату: - Коммерческий опыт работы с компилируемым языком более 5ти лет - Знакомство с GoLang’ом и готовность на нем писать серьезные проекты - Опыт создания распределенных систем и кластерных решений - Хорошее знание MongoDB - Базовое знание Kafka - Хорошее понимание устройства веб приложений   Будет плюсом если у вас есть такие навыки как: - Опыт работы с Ansible - Опыт настройки систем мониторинга - Опыт работы с Redis - Опыт работы с Ruby - Опыт работы с ElasticSearch  ",Вакансия опубликована 4 сентября 2021 в Москве,"['Английский\xa0— A1 — Начальный', 'MongoDB', 'Kafka', 'Golang', 'Back-End Developer', 'Ansible']"
1,https://nn.hh.ru/vacancy/47472158?from=vacancy_search_list&query=golang,Golang Developer,от 12 500 до 16 000 бел. руб. на руки,ООО МАКСБИТСОЛЮШЕН,True,"Академия наук, Площадь Победы, Минск, переулок Козлова, 25","Полная занятость, удаленная работа",3–6 лет,False,False,"MAXBITSOLUTION - IT-компания, создающая проекты в сфере iGaming. Мы разрабатываем высоконагруженные системы с использованием Vue.js, PHP, Ruby on Rails и Go, а также управляем трафикообразованием и лидогенерацией. Какие продукты мы создаем? Крупные развлекательные онлайн-проекты и приложения для iOS и Android. Наша команда активно растет, и мы приглашаем присоединиться к нам опытного Golang разработчика для реализации серверной части нашего продукта. Чем предстоит заниматься:   разработкой backend-приложения;  активно применять микросервисную архитектуру.   Нам нужен именно ты, если у тебя есть:   опыт разработки на Golang от 2-х лет и глубокое знание языка и экосистемы;   опыт разработки высоконагруженных приложений, опыт работы с микросервисами;   опыт реализации схем Failover Recovery;   опыт работы с базами PostgreSQL, Redis;   опыт написание юнит и блочных тестов.   Будет весомым преимуществом:   наличие open-source проектов;   умение пользоваться git flow;   опыт работы в гейм проектах;   понимание Docker, Ansible, Kubernetes;   умение писать простые скрипты на Lua.   Мы предлагаем:   работу в молодом и дружном коллективе;   безграничные возможности для профессионального роста и самореализации;   комфортное рабочее место в современном офисе с террасой в центральной части города;   оборудованную кухню с кофе, орехами, свежими фруктами и прочими вкусняшками;   современное техническое оснащение (мощное железо, дополнительные мониторы, и все, что нужно для работы);   курсы английского языка;   бесплатную парковку рядом с офисом;   3 sick days;   интересные корпоративные мероприятия.  ",Вакансия опубликована 5 сентября 2021 в Минске,"['PostgreSQL', 'Redis', 'Работа в команде', 'Scrum', 'Git', 'Failover Recovery']"
2,https://nn.hh.ru/vacancy/47695836?from=vacancy_search_list&query=golang,Senior Golang developer (back-end),от 4 500 до 7 000 USD на руки,Wikiroutes,True,"Санкт-Петербург, Пискаревский проспект, 25","Полная занятость, удаленная работа",3–6 лет,False,False,"Добрый день! Мы связаны с общественным транспортом уже 12 лет. С 2009 года работает наш проект wikiroutes.info, которым уже воспользовалось 150 млн. человек со всего мира. Сейчас мы делаем делаем новый проект совместно с нашими партнерами (дочерняя компания MERCEDES). О проектe: MAAS (mobility as a service), маршруты, транспорт, поиск оптимального мультимодального маршрута, mobile ticketing, кубернетис, огромные скорости работы - вся идея проекта - построить самый быстрый движок в мире. MAAS - самая высокофинансированное направление до 2030 года по отчетам McKinsey К дополнении к 7 Golang разработчикам мы ищем еще 6. Нанимаем быстро. 2 технических интервью за неделю и все. Мы набираем сильную команду под управлением сильных менеджеров из Германии. Работа в команде с дата-саентистами, rnd-менеджерами и доменными экспертами.   - Официальное трудоустройство - график 5/2 со всеми выходными/праздниками - премии - дмс со стоматологией (для спб) - удаленная работа - митинги на русском языке (изредка на английском тк также есть разработчики из Европы) - зп 4500-7000 долларов   С уважением Александр Мустафин    ",Вакансия опубликована 6 сентября 2021 в Санкт-Петербурге,[]
3,https://nn.hh.ru/vacancy/45850064?from=vacancy_search_list&query=golang,Golang Developer / Go разработчик,от 154 000 до 222 000 руб. на руки,ООО Софтвайс,True,"Санкт-Петербург, Чкаловский проспект, 50","Полная занятость, полный день",1–3 года,False,False,"«Софтвайс» занимается разработкой ПО в области рекламы и мобильных игр. О нашем стеке: Golang, PostgreSQL, Redis, Kafka, KSQL, ClickHouse, Scylla, Docker, Prometheus, PHP, JS О наших объёмах: >130k RPS, несколько миллиардов событий в ClickHouse в день Наш технический отдел состоит из проектных команд: несколько команд разработки нового функционала и платформенных команд, занимающихся поддержкой и развитием ядра системы. Сейчас нам требуется опытный Golang-разработчик. На Go у нас написан высоконагруженный бекенд, который мы постоянно дорабатываем, улучшаем и разбиваем на микросервисы. Нужно будет вносить изменения в такие сервисы и покрывать тестами новый функционал. Ты:   Имеешь опыт разработки на Golang;   Использовал Docker;   Привык хранить код в Git;   Готов работать в команде;   Понимаешь документацию на английском   Было бы плюсом, если ты:   Проектировал архитектуру сервисов;   Умеешь писать SQL запросы;   Стримил сообщения в Kafka;   Работал с NoSQL;   Сталкивался с системой мониторинга Prometheus;   Проверял код профилировщиком;   Знаешь *nix на уровне пользователя   Если нет, то научим. Почему у нас круто:   Свобода действий вместо бюрократии;   Поощряется предложение идей;   Не боимся внедрять свежайшее ПО;   Команды сами выбирают свои процессы и технологии;   У нас открытые зарплаты;   Есть понятный процесс повышения грейда раз в полгода   Что с нас:  Стабильная заработная плата без опозданий и задержек; Перформанс-ревью раз в полгода и прозрачная система повышения грейда; Условия для развития: оплата конференций и тренингов, учебных материалов и курсов; Постоянная работа в комфортном офисе в новом бизнес-центре в 7 минутах ходьбы от м. Петроградская и м. Чкаловская; Гибкий график работы: всегда можно договориться, когда приходить и когда уходить; Молодой, веселый и дружелюбный коллектив; ДМС, корпоративный английский; PS5, настольный футбол, личный спортзал, корпоративные спортивные и анти-спортивные мероприятия; Оформление по ТК РФ. ",Вакансия опубликована 5 сентября 2021 в Санкт-Петербурге,"['PostgreSQL', 'SQL', 'Golang']"
4,https://nn.hh.ru/vacancy/47408776?from=vacancy_search_list&query=golang,Go (Golang) разработчик,от 150 000 до 150 000 руб. на руки,ЮнгЭдс,True,"Санкт-Петербург, Московский проспект, 79А","Полная занятость, полный день",1–3 года,False,False,"Привет!Мы - ЮнгЭдс - международная рекламная сеть, основанная в 2015 году.  Наш основной продукт - это диджитал платформа, с помощью которой наши клиенты могут размещать рекламные объявления по всему миру.  О продукте: Мы разрабатываем собственный продукт - рекламную сеть. На GoLang сейчас вынесены участки проекта, которые находятся под высокой нагрузкой, в частности главный блок - распознавание таргета и обработка рекламных показов. В качестве БД используем ClickHouse. Требования:  Уверенное знание GoLang; Опыт работы с высоконагруженными системам; приветствуется опыт работы с решениями CI/CD;  Условия:  Оклад 150 000 рублей; Работа в офисе ст. М. Фрунзенская; 5-ти дневная рабочая неделя, сб-вс - выходные дни; 8-ми часовой рабочий день + 1 час перерыв. ",Вакансия опубликована 4 сентября 2021 в Санкт-Петербурге,[]
5,https://nn.hh.ru/vacancy/46928809?from=vacancy_search_list&query=golang,Middle\Senior Golang разработчик,до 300 000 руб. на руки,ООО ИТ-Экспертиза,True,Москва,"Полная занятость, гибкий график",1–3 года,False,False,"Наш Проект ""Сакура""  Позволяет обеспечить защиту рабочих мест в периметре организации, при удаленном подключении или использовании облачной и гибридной инфраструктуры. Позволяет контролировать состояние удаленных рабочих мест и других устройств 24 часа в сутки и предотвращать последствия нарушения правил информационной безопасности, мгновенно реагируя на несоответствия эталонам ИБ. Высоконагруженная система агрегации и преобразования данных; Сервисные API.  Технологии:  GoLang + gomod; PostgreSQL, MongoDB,Redis и др БД; WebSocket, HTTP/2, gRPC; JSON, XML, ProtoBuf; Docker.  Что мы от Вас ждем  Опыт разработки на GoLang от 2х лет; Разработка с использованием концепций конкурентного выполнения и механизмов синхронизации; Знание ООП и паттернов программирования и практика их применения; Опыт написания unit тестов и мокирования отдельных частей приложения; Опыт работы с сетевыми/файловыми потоками данных; Опыт разработки с использованием SQL и NoSQL баз данных, key-value хранилищ; Знание структур хранения данных и алгоритмов работы с ними; Обладание аналитическими навыками и профессиональным кругозором.  Идеально, если вы можете и с аналитиком поговорить, и ТЗ написать, и запрограммировать, и коллегам задачу поставить. Мы надеемся, что вы любознательны, стремитесь ""докопаться до причины происходящего"", видите суть и закономерности, запоминаете новую информацию. Вы понимаете, как устроен Backend (а в идеале и Frontend), интересуетесь новыми технологиями, делаете свой процесс эффективным день ото дня. Кто мы Мы команда профессионалов в области ИТ, разработки программного обеспечения и информационной безопасности. Мы создаем не массовый продукт, беремся за то, что другие боятся и решаем нестандартные задачи. Выполняем код-ревью, оптимизируем системы и исправляем их архитектуру для работы с высокой нагрузкой. Ведущие холдинги и корпорации доверяют нашей экспертизе и заключениям, среди которых Ростех, Роснефть, Мосгортранс и многие другие. Наши руководители - эксперты в своих областях и именитые технические специалисты. Они точно понимают, как всё работает, а значит не ставят невыполнимых задач. Среди нас разработчики с опытом больше 10 лет, архитекторы высоконагруженных систем и эксперты, к которым всегда можно обратиться за помощью. И никаких менеджеров гуманитарев (ничего не имеем против них, просто у нас все говорят на одном языке и понимают друг друга) ;) У нас 2 офиса - Москва и Новосибирск. Нам важно создавать профессиональные и технологичные команды. Наши услуги востребованы и мы умеем делать их хорошо. У нас много крутых идей, которые хочется реализовать и нам нужны сообщники в этом непростом деле.  ",Вакансия опубликована 6 сентября 2021 в Москве,"['PostgreSQL', 'MongoDB', 'Highload', 'JSON API', 'JSON', 'XML', 'Redis', 'Docker', 'WebSocket', 'ООП', 'Backend']"
6,https://nn.hh.ru/vacancy/47537273?from=vacancy_search_list&query=golang,"Golang Developer backend, Middle/Senior (Remote)",от 2 500 до 4 500 USD на руки,Mascot Gaming,True,Москва,"Полная занятость, удаленная работа",1–3 года,False,False,"О нас: Mascot Gaming - игровая студия, основанная в 2018. Мы - это сертифицированный и лицензированный провайдер игр для онлайн-казино, продуктами которого пользуется уже более 50 компаний по всему миру. Наша цель - предоставить игрокам захватывающий игровой опыт. Наша команда – специалисты с богатым опытом работы в гемблинг сфере: начиная от наземного оперирования казино и заканчивая кастомной разработкой игровых систем и платформ. Что мы ждем:   Уверенное владение Golang;   Опыт коммерческой разработки от 2-х лет   Умение выстраивать чистую и поддерживаемую архитектуру в приложении;   Понимание принципов работы CI/CD;   Умение работать с системами контроля версий и репозиториями (git, GitLab);   Опыт работы с grpc (protobuf);   Уверенное владение PostgreSQL (или любая другая реляционная СУБД);   Умение работать с NoSQL-базами (redis);   Опыт работы с очередями сообщений (nats, Kafka, RabbitMQ или иное);   Понимание протоколов: TCP, UDP, HTTP, Websocket;   Умение работать с Linux;   Знаете английский язык как минимум на уровне чтения технической литературы и документации;   Будет плюсом опыт с:   Kubernetes   Prometheus   ElasticSearch   Service Mesh (Istio, linkerd)   Что предстоит делать:   Работа в команде с обсуждением решения разных задач;   Разработка и поддержка микросервисов платформы;   Интеграция сторонних платформ;   Работа с системой контейнеризации приложений (docker);   Работа с системой оркестрации контейнеров (kubernetes);   Мы с радостью предложим:   Полностью удаленная работа   Интересные задачи, передовые технологии   Гибкий график начала рабочего дня   Отсутствие бюрократии  ",Вакансия опубликована 4 сентября 2021 в Москве,"['PostgreSQL', 'Redis', 'RabbitMQ', 'Git', 'HTTP', 'golang']"
7,https://nn.hh.ru/vacancy/47086227?from=vacancy_search_list&query=golang,"Senior Backend Developer (Golang, php)",от 256 000 руб. на руки,inDriver,True,"Якутск, Глухой переулок, 2/1","Полная занятость, полный день",более 6 лет,False,False,"inDriver — международный сервис пассажирских перевозок. Мы создаем глобальный высокотехнологичный продукт, который меняет жизнь миллионов людей к лучшему. Входим в топ-3 мобильных сервисов для заказа поездок в мире — 80 млн. пользователей, 1 млрд. поездок, 450 городов в 34 странах мира. Мы ищем backend разработчика в продуктовую команду inDriver. В отделе Backend разработки 30 человек, а всего в команде 180+ разработчиков и инженеров. Используем Golang и PHP для разработки продуктов (монолит на PHP), базу данных MySQL, MongoDB, а кэш на Redis. Разработку ведем на Github, используем TeamCity и Github Actions. В инфраструктуре Docker, Kubernetes, Helm, Prometheus, Grafana и Kafka. Ещё мы используем Feature Toggles, Blue-Green Deployment и другие подходы к разработке, чтобы ничего не сломалось в продакшене. Вам предстоит:   разработка и поддержка backend сервисов на Go/PHP;   активное участие в прототипировании новых решений;   разработка и улучшение функциональности продукта;   проведение код-ревью, написание юнит тестов.   Наши пожелания:   знания языка/ов программирования бэкэнда Go или PHP;  интерес к новым технологиям, средствам автоматизации процессов разработки; ответственность, стремление работать в команде и развиваться (мы будем регулярно отправлять на курсы).  Мы предлагаем:  стабильную заработную плату, соблюдение ТК РФ, ДМС со стоматологией; современные MacBook Pro и другое необходимое для работы оборудование; гибридный график работы с возможностью частичной удаленной занятости; неограниченные возможности профессионального и карьерного роста, регулярное внешнее и внутреннее обучение от наших партнеров; частично или полностью оплачиваемые дополнительные обучающие курсы, в том числе занятия английским языком; бесплатное посещение всех мастер-классов в центре IT-развития “Смарт”; возможность стать частью международной команды профессионалов и просто хороших людей, которые все вместе создают одну из самых крутых историй успеха в мировой IT-индустрии.    Наши сотрудники - самое ценное, что у нас есть. Мы заботимся о том, чтобы офисное пространство было максимально комфортным для работы и отдыха. В офисе есть уютный лаунж с кухней, тренажерный зал, игровые приставки, капсула для дневного сна и зоны для отдыха. Мы проводим различные корпоративные и тематические мероприятия, которые помогают нам в работе и делают жизнь ярче. Офис находится в самом центре Якутска, в нескольких минутах ходьбы от площади Ленина.",Вакансия опубликована 6 сентября 2021 в Якутске,"['PHP', 'MySQL', 'Redis', 'Git', 'Golang', 'Docker']"
8,https://nn.hh.ru/vacancy/43784179?from=vacancy_search_list&query=golang,Senior Golang developer,от 350 000 руб. на руки,WILDBERRIES,True,Москва,"Полная занятость, удаленная работа",3–6 лет,False,False,"В связи с активным ростом команды, находимся в поиске Senior Golang-разработчика. Ищем настоящего программиста, вкладывая в это понятие умение человека разработать крупную систему как одному, так и в команде, разобраться в сложной схеме взаимодействия, сделать ее проще снаружи, производительной и надежной внутри. Сделать так, чтобы заработало, довести проект до рабочего состояния под большой нагрузкой реальных пользователей. Здесь максимально связаны знания хорошей архитектуры, алгоритмов, структур данных, современных систем разработки и обработки данных вместе с практическими навыками. Разработку микросервисов ведем на Go, поэтому знание особенностей языка является большим плюсом. Но самым большим плюсом является желание заниматься подобной разработкой, желание и умение развиваться, умение максимально применить свои силы, умения и мышление для решения конкретных бизнес задач. Предстоящие задачи:  Разработка высонагруженных сервисов компании, не опирающихся на существующие на рынке решения и СУБД, такие как каталог товаров, поиск.  Наши пожелания:  Умение разобраться в системе любой сложности, желание и умение разработать с нуля систему любой сложности от идеи до стабильно работающего под высокой нагрузкой решения; Знание алгоритмов и структур данных; Языки и технологии: Golang, Docker&Kubernetes, Gitlab CI/D;  Мы предлагаем:   Удаленный формат работы (не только на момент пандемии);   Официальное оформление по трудовой книжке;   Возможность устройство по гпх/самозанятость (полный рабочий день);   Сложные и интересные проекты;   Возможности для профессионального развития и роста;   Гибкий график.    ",Вакансия опубликована 6 сентября 2021 в Москве,"['Английский\xa0— A1 — Начальный', 'Golang', 'docker', 'kubernetes', 'Docker&Kubernetes', 'Gitlab', 'CI/DI']"
9,https://nn.hh.ru/vacancy/47537274?from=vacancy_search_list&query=golang,"Golang Developer backend, Middle/Senior (Remote)",от 2 500 до 4 500 USD на руки,Mascot Gaming,True,Нижний Новгород,"Полная занятость, удаленная работа",1–3 года,False,False,"О нас: Mascot Gaming - игровая студия, основанная в 2018. Мы - это сертифицированный и лицензированный провайдер игр для онлайн-казино, продуктами которого пользуется уже более 50 компаний по всему миру. Наша цель - предоставить игрокам захватывающий игровой опыт. Наша команда – специалисты с богатым опытом работы в гемблинг сфере: начиная от наземного оперирования казино и заканчивая кастомной разработкой игровых систем и платформ. Что мы ждем:   Уверенное владение Golang;   Опыт коммерческой разработки от 2-х лет   Умение выстраивать чистую и поддерживаемую архитектуру в приложении;   Понимание принципов работы CI/CD;   Умение работать с системами контроля версий и репозиториями (git, GitLab);   Опыт работы с grpc (protobuf);   Уверенное владение PostgreSQL (или любая другая реляционная СУБД);   Умение работать с NoSQL-базами (redis);   Опыт работы с очередями сообщений (nats, Kafka, RabbitMQ или иное);   Понимание протоколов: TCP, UDP, HTTP, Websocket;   Умение работать с Linux;   Знаете английский язык как минимум на уровне чтения технической литературы и документации;   Будет плюсом опыт с:   Kubernetes   Prometheus   ElasticSearch   Service Mesh (Istio, linkerd)   Что предстоит делать:   Работа в команде с обсуждением решения разных задач;   Разработка и поддержка микросервисов платформы;   Интеграция сторонних платформ;   Работа с системой контейнеризации приложений (docker);   Работа с системой оркестрации контейнеров (kubernetes);   Мы с радостью предложим:   Полностью удаленная работа   Интересные задачи, передовые технологии   Гибкий график начала рабочего дня   Отсутствие бюрократии  ",Вакансия опубликована 4 сентября 2021 в Нижнем Новгороде,"['PostgreSQL', 'Redis', 'RabbitMQ', 'Git', 'HTTP', 'golang']"
