,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/47977394?from=vacancy_search_list&query=java%20junior,Java Developer — Junior to Middle (Ученик),от 120 000 до 160 000 руб. на руки,ООО Цифровые привычки,True,Москва,"Полная занятость, полный день",1–3 года,False,False,"Привет! Мы в Цифровых Привычках активно растем и развиваемся, поэтому ищем в компанию уверенных Junior Developer и начинающих Middle Developer под цифровые проекты Сбербанка (SberWorks, SberDevices, СберСпасибо, СберОнлайн). Понимая, что кандидаты могут иметь пробелы в знаниях, нехватку опыта, мы сделали бесплатный курс по Java разработке. Продолжительность — 2 месяца. После обучения и успешного прохождения финального собеседования тебя ждет официальное трудоустройство в компанию. Курс можно совмещать с текущим местом работы. Java Developer — oбучение «‎Junior to Middle»‎ с последующим трудоустройством Мы предлагаем - официальное трудоустройство по ТК РФ с первого дня работы; - полный рабочий день, возможность работать удалённо; - обсуждение з/п (кстати, она у нас белая) в индивидуальном формате + пересмотр по результатам работы; - курс английского после испытательного срока по желанию; - возможность поменять проект внутри компании, если что-то пошло не так); - ДМС со стоматологией; - современные офисы в Москве (Сбербанк Agile Home) и СПб (головной офис компании); - достойное железо для работы; - помощь с релокацией в города присутствия компании (Москва, Санкт-Петербург, Новосибирск) при необходимости.   Про курс Java Dev «Junior to Middle»‎ Продолжительность: 2 месяца; Лекции по Zoom: две по будням в вечернее время (2 часа) и одна в выходной день (4 часа); Практика: не менее 4х обязательных домашних заданий с обратной связью от преподавателя; Группы не более 10 человек, чтобы уделить тебе максимум внимания.   Какие требования к кандидатам? - опыт коммерческой разработки на Java не менее 9 месяцев; - знание основных методологий разработки программного обеспечения, включая гибкие методологии; - опыт работы с технологиями: Spring Framework, Hibernate, Maven, REST, SOAP; - опыт командной разработки.   Как попасть в группу? 1. Откликнись на эту вакансию. 2. Пообщайся с нашим рекрутером. 3. Пройди техническое тестирование (20 минут). 4. Пройди техническое собеседование.   После курса «Junior to Middle»‎ ты - получишь возможность работать над микросервисными и самыми высоконагруженными и сложными проектами в стране; - научишься работать с системами контроля версий и писать промышленный код по западным стандартам; - станешь частью большой команды (более 50 разработчиков); - получишь менторство и поддержку (выделенный наставник); - изучишь передовые технологии. На наших проектах мы используем современный стек технологий; - изучишь методологии гибкой разработки (Scrum, Agile); - получишь профессиональные навыки, которые помогут поднять твой уровень до middle разработчика в считанные месяцы; - получишь опыт работы над проектами банков из ТОП-5.   Присоединяйся к нашей команде!  ",Вакансия опубликована 3 октября 2021 в Москве,"['Spring Framework', 'Java', 'Git', 'Hibernate ORM', 'Apache Maven']"
1,https://nn.hh.ru/vacancy/45973501?from=vacancy_search_list&query=java%20junior,Junior Java Developer,от 120 000 руб. на руки,BIV,True,"Лиговский проспект, Санкт-Петербург, улица Марата, 51","Полная занятость, полный день",1–3 года,False,False,"BIV - разработчик ИТ-решений для федеральных компаний страхового рынка. Результатами нашего труда пользуются миллионы людей. Мы приглашаем разработчиков присоединиться к нашей команде, которая разрабатывает решения для автоматизации процессов в сфере Страхования. Если вам недостает опыта, но вы готовы компенсировать это рвением и желанием учиться, вы сможете быстро получить знания, работая в команде с опытным наставником. Если вас привлекает работа в дружной команде. Вы хотите быть в курсе того, что происходит в компании и видеть, что ваша работа приносит результат - вам к нам! Чем предстоит заниматься:  Работа в роли разработчика в Agile-команде Разработка микросервисов в микросервисной архитектуре, покрытие кода тестами Поддержка существующих решений и их развитие Оценка трудоемкости задач, участие в процессе планирования Участие в обсуждении идей и задач.  Для этого вам потребуется:  Профильное образование, возможно студент старших курсов Базовые знания и области разработки на Java Умение и желание общаться с коллегами по рабочим вопросам Готовность учиться новому Использование методологии гибкой разработки.  Мы предлагаем:  Дружную и позитивную атмосферу в команде Возможность вносить свой вклад в создание продуктов, которыми пользуются миллионы людей Быстрый рост разработчиков в команде с опытным наставником Комбинированный формат работы: офис/удаленка Готовы рассматривать кандидатов из других городов с последующим переездом Удобное расположение офиса в центре С.-Петербурга Полностью «белую» заработную плату, уровень дохода обсуждается индивидуально Льготное, вкусное питание, чай, кофе, ДМС Совместные SAP-заплывы летом, вылазки на природу. ",Вакансия опубликована 2 октября 2021 в Санкт-Петербурге,"['Java', 'ООП', 'SQL', 'Scrum']"
2,https://nn.hh.ru/vacancy/48324225?from=vacancy_search_list&query=java%20junior,Веб-программист стажер/junior java,з/п не указана,Лидер ИТ,True,"Томск, улица Мокрушина, 9с16","Стажировка, полный день",не требуется,False,False,"Веб-программист стажер, junior в программу обучения Что мы предлагаем:  Обучение программированию при участии в разработке реальных проектов - SMS-шлюзы, системы оплат, интерактивные карты, информационные сервисы и др. Один из текущих проектов: создание системы для предоставления товаров в лизинг для одного из крупнейших российских банков. Практическое изучение Java на бэкенде Погружение в атмосферу разработки и сопутствующие методологии и инструменты, т.к. обучение происходит в оффлайн-формате:  Agile/Scrum. Cистема контроля версий (SVN / GIT). Багтрекер (Jira). Прочие инструменты (IDE, Webflow, шаблонизатора и т.д.)   Закрепление за каждым учеником ментора для более быстрого роста. Цель программы - вырастить разработчика до сотрудника уровня Junior/Junior+ По окончании программы - трудоустройство в нашу компанию.  Условия поступления в программу для Backend стажер/junior:  Понимание принципов ООП, паттернов проектирования, REST API. Знание основ Java (+ spring) Желание к саморазвитию и углублению познаний.    Плюсом будет:  Знание английского языка на уровне устного обсуждения задач и чтения документации. Наличие собственных проектов (разработанных для себя, в качестве изучения технологии или решения каких-либо задач).  Условия:   Место обучения: г. Томск, ул. Мокрушина  Стипендия на время обучения. ",Вакансия опубликована 1 октября 2021 в Томске,"['ООП', 'REST API', 'CSS', 'jQuery', 'HTML5', 'HTML', 'Java', 'Atlassian Jira', 'Git', 'Spring Framework', 'JavaScript']"
3,https://nn.hh.ru/vacancy/45988241?from=vacancy_search_list&query=java%20junior,Junior Java developer,от 100 000 руб. на руки,Метр Квадратный,True,Москва,"Полная занятость, гибкий график",1–3 года,False,False,"




Здесь сбываются мечты о новой работе и не только



«Метр квадратный» — это экосистема недвижимости, которая помогает клиентам решать любые жилищные вопросы: от поиска вариантов и оформления сделки до организации ремонта и переезда в новую квартиру. Мы также создаем решения для партнёров и профессиональных участников рынка недвижимости.
Нам нужен Junior разработчик, у которого есть:  знание принципов ООП, шаблонов проектирования; знание Core Java: работа с коллекциями, Stream API, базовое понимание многопоточности (не обязательно практическое); опыт работы с любой базой данных; понимание простейших принципов проектирования API, базовые знания RESTful-подхода; знание основ фреймворка Spring; знание принципов и умение работать с Git; знание командной строки *nix систем на базовом уровне.  Будет здорово, если ты:  работал со Spring/Spring Boot на практике; умеешь проектировать системы на микросервисной архитектуре с умом; работал с nosql базами данных; знаешь что такое юнит-тесты и как писать; сталкивался с разными видами протоколов межсервисного взаимодействия; понимаешь, хотя бы в общем, как можно раскатить сервис в production.  Мы ждем, что Junior разработчик в нашем проекте будет:  развивать продукт в кросс-функциональной команде думать о сроках разработки, но и не забывать про качество в техническом слое покрывать код тестами; участвовать в code review; участвовать в общих встречах backend-разработки и думать о том, как развивать наш технический слой.  Наш стек:  Микросервисная архитектура, Java/Kotlin, Gradle, Spring Boot/Cloud, Restful API/gRPC, PostgreSQL/MongoDB/Redis/Elasticsearch, Kafka, Gitlab CI/CD, Docker/Kubernetes, Prometheus/Sentry, ELK.  Мы предлагаем:  белая конкурентная ЗП, официальное оформление; возможность влиять на разработку и сразу видеть результат своей работы; гибкий график работы, возможность выбора рабочего оборудования; ДМС, льготная ставка по ипотеке, компенсация фитнеса. 


О нас
Мы строим первую экосистему недвижимости с нуля. Вы будете создавать новый продукт, а не исправлять чужие ошибки.



- У нас быстро принимаются решения и воплощаются идеи команды. Вы будете сразу видеть результат своей работы.



- Каждый день у нас появляются новые задачи, которые мотивируют изучать новое и двигаться вперёд.



- Мы используем современные инструменты и применяем передовые подходы в работе.





Наши контакты

Москва
Санкт-Петербург










В Москве мы пока работаем в режиме
""Home office"" (на период пандемии)










Метро «Петроградская», 
набережная реки Карповки, д. 5, к. 16






",Вакансия опубликована 1 октября 2021 в Москве,"['Git', 'Spring Framework', 'PostgreSQL', 'Java', 'ООП']"
4,https://nn.hh.ru/vacancy/48443074?from=vacancy_search_list&query=java%20junior,Junior Developer / Младший программист,от 60 000 до 100 000 руб. на руки,ООО Инсайд,True,"Санкт-Петербург, Камышовая улица","Полная занятость, полный день",1–3 года,False,False,"Обязанности: Проведение интеграционных тестов ; Оформление баг-репортов в баг-трекинговой системе gitlab; Настройка : серверов и backup; Подготовка технической документации; Взаимодействие с разработчиками ; Написания скриптов ; Требуемые навыки : 1. Навыки написания кода на одном языков программирования ( JavaScript/TypeScript ( Node.Js); Python; Ruby; PHP; Java; C# (.NET); C++; ) ;2. Понимание принципов event-driver программирования, неблокирующего ввода-вывода, асинхронности ;3. Понимание протокола HTTP: значений кодов ответа, заголовков запроса/ответа, различных форматов тела запроса/ответа ;4. Знания MySQL , Doker , Linux ;5. Понимание принципов REST API, CRUD, микросервисной архитектуры;6. Базовые знания HTML ,CSS; 7. Умение работать с git (gitlab/github);8. Высокая обучаемость;9. Высшее техническое образование ;10. Технический английский ; Условия :- График работы: 5/2;- Официальное оформление по ТК РФ;- Работа в дружном, молодом коллективе, в атмосфере взаимопомощи;- Интересные задачи, творческая работа;- Реальные возможности профессионального и карьерного роста;- Испытательный срок.",Вакансия опубликована 1 октября 2021 в Санкт-Петербурге,"['Git', 'Linux', 'JavaScript', 'HTTP', 'HTML', 'REST API', 'CSS']"
5,https://nn.hh.ru/vacancy/48448892?from=vacancy_search_list&query=java%20junior,Junior java – разработчик,от 100 000 до 140 000 руб. на руки,ООО КонсалтПро,True,"Серпуховская, Москва, Серпуховско-Тимирязевская линия, метро Серпуховская","Полная занятость, полный день",1–3 года,False,False,"Приглашаем Junior java – разработчика, в коллектив экспертов в области транспортной автоматизации. Вот уже 18 лет, мы помогаем нашим партнерам создавать лучшие в отрасли решения для скоростных автомагистралей, железных дорог, железнодорожных вокзалов и аэропортов Ключевыми задачами будут:- участие в разработке и оптимизации производительности ПО – АСУДД;- участие в разработке интеграционных решений в рамках инфраструктуры со смежными IT-системами;- разработка новых и улучшение существующих функций сервиса;- участие в согласовании требований к разрабатываемому функционалу и самостоятельная проработка архитектурных решений. Пожелания к будущему коллеге:- опыт работы с Java 8;- опыт работы с SQL и JDBC;- опыт клиент-серверного взаимодействия RESTful; Будет плюсом:- написание unit, интеграционных и ui-тестов;- знание frontend технологий. Наш стэк:J2EE (EJB 3.0, JMS, Servlets); Spring (Boot, Security, Web, Data, AOP); Quarkus; JPA (EclipseLink, Hibernate); Tomcat, WildFly; Postgres (PostGis); FlayWay; Swagger; Javascript (Vue); Docker, Git. Работа в нашей компании – уникальная возможность совершенствования существующих навыков и стремительный карьерный рост, а так же:-конкурентная заработная плата, обсуждается индивидуально с кандидатом, исходя из уровня знаний (100 000 – 140 000);- график работы 5/2, гибкое начало рабочего дня;- оформление по ТК, полный соц. пакет;- уютный офис в 3 мин от метро Серпуховская, возможна частичная удаленка;- регулярные обучения, тренинги, повышения квалификации;- инновационные проекты на новых и строящихся скоростных трассах России;- профессиональный коллектив в области создания интеллектуальных транспортных систем.  ",Вакансия опубликована 1 октября 2021 в Москве,"['Java 8', 'SQL и JDBC', 'RESTful', 'Spring Security', 'WildFly', 'Apache Tomcat', 'Git']"
6,https://nn.hh.ru/vacancy/48065521?from=vacancy_search_list&query=java%20junior,Junior Java-разработчик,от 35 000 руб.,Аксиоматика,True,"Волгоград, Баррикадная улица, 1Б","Частичная занятость, полный день",1–3 года,False,False,"В команду компании Аксиоматика ищем классного разработчика, работа в офисе в г. Волгоград, не удаленная работа. Если вы более опытный специалист, свяжитесь с нами, мы готовы обсуждать другие варианты по сотрудничеству(по зп, посещению офиса, да и вообще ответим на все вопросы ) Что нужно будет делать:  Сопровождение существующих систем. Разработка новых модулей  Что нам важно в вас :  Высшее или незаконченное высшее профильное образование. Понимание концепций ООП Понимание работы web-приложений Наличие опыта работы с реляционными СУБД Знания Java Core (Collections, Concurrency) Навыки работы с Spring Framework (MVC, Security) Навыки работы с Hibernate Умение быстро разбираться в большом объеме чужого кода Желание учиться и изучать новые технологии  Что мы предлагаем:  График работы 5/2; Возможно совмещение с обучением в университете и более гибкие условия Оформление по ТК РФ, оплата больничных, отпусков; Уютный офис в Ворошиловском районе с шикарным видом на Волгу и безлимитным кофе Работу в дружной, динамично развивающейся команде профессионалов, которые всегда готовы прийти друг другу на помощь Интересную работу и новые знания Бесплатные занятия английским с преподавателем ежегодный выездной корпоратив в другие города и страны  Заработная плата обсуждается индивидуально с каждым кандидатом и будет зависеть от вашего опыта, уровня знаний и занятости Вы все это прочли и все равно решили, что вам не подходит, расскажите о нашей вакансии коллегам\друзьям\знакомым, вдруг это работа чьей-то мечты ",Вакансия опубликована 3 октября 2021 в Волгограде,[]
7,https://nn.hh.ru/vacancy/47778632?from=vacancy_search_list&query=java%20junior,Junior Java-разработчик,от 80 000 руб. на руки,ООО МСН Телеком,True,"Коломенская, Москва, 2-й Нагатинский проезд, 2с8","Полная занятость, полный день",3–6 лет,False,False,"MCN Telecom - один из ведущих операторов фиксированной связи (узлы местной связи в 67 городах РФ, лицензированный оператор МГМН) и виртуальный мобильный оператор (MVNO), разработчик программных продуктов. Оказываем услуги связи (фиксированная связь,СPaaS) в четырёх европейских странах: Венгрии, Германии, Словакии и Австрии. Ключевые IT-продукты MCN Telecom: Телефония (мобильная и фиксированная), Виртуальная АТС, Чатофон, Голосовй робот, API - интегрированы в единую телеком-платформу (СPaaS). Мы делаем связь удобной, надежной и доступной - для бизнеса и людей! Мы ищем Junior Java-разработчика, у которого есть: Знание принципов ООП и шаблонов проектирования;Знание основ Java и фреймворка Spring в частности;Знание принципов и умение работать с Git;Опыт работы с базами данныхБудет преимуществом, если:Работал со Spring/Spring Boot на практике;Работал с nosql базами данных;Работал с Kafka;Точно к нам если хочешь освоить стек:Микросервисная архитектура, Java, Spring Boot/Cloud, PostgreSQL/Elasticsearch, Kafka, GitHub CI/CD, Docker/Kubernetes, Prometheus/Kibana, Camunda/Zeebe, Kubernetes   Условия:  Оформление согласно ТК РФ; График (5/2); Бесплатные вкусные обеды; Уютный офис м.Коломенская/м.Нагатинская. ",Вакансия опубликована 2 октября 2021 в Москве,"['Nginx', 'Администрирование серверов Linux', 'Linux', 'CentOS', 'Базы данных', 'PostgreSQL', 'MySQL', 'Kubernetes', 'Spring Framework', 'Docker', 'Elasticsearch', 'GitHub', 'Java Core', 'Kibana', 'CI', 'Apache Kafka']"
8,https://nn.hh.ru/vacancy/47684876?from=vacancy_search_list&query=java%20junior,Junior Java Developer (Fullstack),от 80 000 до 120 000 руб. на руки,СПЕКТР,True,"Ленинский проспект, Московская, Санкт-Петербург, Ленинский проспект, 160","Полная занятость, полный день",1–3 года,False,False," Обязанности: Разработка backend на Spring/EJB, Разработка frontend на Angular/React, Разработка новой и доработка текущей функциональности, Оперативное решение возникающих проблем.  Обязательные требования:  Высшее техническое образование, Опыт коммерческой разработки на Java с использование Spring/EJB от 1 года, Опыт коммерческой разработки на Angular/React от 1 года, Опыт работы c СУБД Oracle/PostgreSQL, Уверенное владение SQL, Умение разобраться в чужом коде, Знание английского языка достаточное для понимания технической документации,  Желательные требования:  Опыт работы с JMS, Опыт работы с MyBatis, Опыт работы с Git, Опыт разработки Fintech решений.  Успешному кандидату мы предлагаем:  оформление по ТК РФ, полностью «белую» зарплату, удобный, просторный офис в Московском районе (СПб), возможность частичной удалённой работы и согласованного c руководителем графика работы, стабильную заработную плату с индексацией по мере роста сотрудника, заботу о вашем здоровье: расширенный ДМС с офисным врачом, лучшими клиниками СПб и страхованием в поездках за границу, ваше профессиональное развитие: возможность сертификации и участия в профильных конференциях за счет компании. ",Вакансия опубликована 3 октября 2021 в Санкт-Петербурге,"['Spring Framework', 'EJB', 'AngularJS', 'React.JS', 'ORACLE', 'PostgreSQL', 'SQL', 'JMS', 'Git', 'Java', 'JavaScript']"
9,https://nn.hh.ru/vacancy/42864551?from=vacancy_search_list&query=java%20junior,Программист Java (Junior),от 50 000 до 75 000 руб. до вычета налогов,ООО Информационные системы и сервисы,True,"Площадь Ленина, Новосибирск, Советская улица, 4А","Полная занятость, полный день",не требуется,False,False,"Наша компания ведёт продуктовую разработку программного обеспечения с использованием гибких методологий разработки. Наши продукты являются лидирующими на рынке в своих нишах. Рынок разрабатываемых продуктов - российский государственный сектор. Разработку наша компания ведёт на базе open-source технологий. В частности, используемые продукты: портальное решение Liferay, интеграционная шина Mule ESB, для построения отчетности используем JasperSoft и т.д. В качестве базовой платформы используется Java во всех этих решениях. Наш сайт: https://isands.ru/ Обязанности: 1. Разработка приложений:  Разработка структуры данных, проектирование хранилищ и баз данных; Проектирование и реализация взаимодействия между разрабатываемыми и существующими информационными системами; Взаимодействие с техническими специалистами – разработчиками существующих приложений по вопросам, связанным с интеграцией; Оптимизация разработанного кода; Тестирование и внесение корректировок; Подготовка документации по разработанным приложениям; Оценка предполагаемых трудозатрат по проектам; Подготовка отчетности по фактическим трудозатратам по проектам; Осуществление консультационной поддержки Заказчиков и сотрудников компании в пределах своей сферы компетенции; Описание технических требований к запуску приложений в эксплуатацию; Поддержка разработанных проектов.  2. Прототипирование продуктов:  Разработка прототипов приложений; Разработка концепций и архитектуры приложений; Участие в выборе платформы для разработки приложений  Требования:  Знание языка Java; Знание клиент-серверных Java-технологий; Знакомство со Spring Framework; Знание технологий обмена данными: SOAP, REST; Знание английского языка на уровне чтения технической документации  Дополнительным плюсом будет:  Опыт работы с системой Liferay Portal; Базовая культура Java-разработки (Ant, Maven …); Знакомство с системами нотаций бизнес-процессов (BPMN, UML); Владение системами контроля версий (Subversion, Git); Знание SQL, JavaScript; Навыки командной работы.  Условия:  Работа в стабильной компании с 10 летней историей; Полностью официальное трудоустройство с первого дня; Полностью белая заработная плата; Премии по результатам работы; Гибкий график работы; Интересные разнообразные задачи; Масштабные проекты; Продуктовая разработка; Командная разработка; Офис в центре города; Кабинетная система в офисе; Корпоративные мероприятия.  Заработная плата определяется по результатам собеседования.",Вакансия опубликована 3 октября 2021 в Новосибирске,"['Java', 'Liferay', 'SOAP', 'JSON API', 'REST']"
