,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/47977394?from=vacancy_search_list&query=java%20middle,Java Developer — Junior to Middle (Ученик),от 120 000 до 160 000 руб. на руки,ООО Цифровые привычки,True,Москва,"Полная занятость, полный день",1–3 года,False,False,"Привет! Мы в Цифровых Привычках активно растем и развиваемся, поэтому ищем в компанию уверенных Junior Developer и начинающих Middle Developer под цифровые проекты Сбербанка (SberWorks, SberDevices, СберСпасибо, СберОнлайн). Понимая, что кандидаты могут иметь пробелы в знаниях, нехватку опыта, мы сделали бесплатный курс по Java разработке. Продолжительность — 2 месяца. После обучения и успешного прохождения финального собеседования тебя ждет официальное трудоустройство в компанию. Курс можно совмещать с текущим местом работы. Java Developer — oбучение «‎Junior to Middle»‎ с последующим трудоустройством Мы предлагаем - официальное трудоустройство по ТК РФ с первого дня работы; - полный рабочий день, возможность работать удалённо; - обсуждение з/п (кстати, она у нас белая) в индивидуальном формате + пересмотр по результатам работы; - курс английского после испытательного срока по желанию; - возможность поменять проект внутри компании, если что-то пошло не так); - ДМС со стоматологией; - современные офисы в Москве (Сбербанк Agile Home) и СПб (головной офис компании); - достойное железо для работы; - помощь с релокацией в города присутствия компании (Москва, Санкт-Петербург, Новосибирск) при необходимости.   Про курс Java Dev «Junior to Middle»‎ Продолжительность: 2 месяца; Лекции по Zoom: две по будням в вечернее время (2 часа) и одна в выходной день (4 часа); Практика: не менее 4х обязательных домашних заданий с обратной связью от преподавателя; Группы не более 10 человек, чтобы уделить тебе максимум внимания.   Какие требования к кандидатам? - опыт коммерческой разработки на Java не менее 9 месяцев; - знание основных методологий разработки программного обеспечения, включая гибкие методологии; - опыт работы с технологиями: Spring Framework, Hibernate, Maven, REST, SOAP; - опыт командной разработки.   Как попасть в группу? 1. Откликнись на эту вакансию. 2. Пообщайся с нашим рекрутером. 3. Пройди техническое тестирование (20 минут). 4. Пройди техническое собеседование.   После курса «Junior to Middle»‎ ты - получишь возможность работать над микросервисными и самыми высоконагруженными и сложными проектами в стране; - научишься работать с системами контроля версий и писать промышленный код по западным стандартам; - станешь частью большой команды (более 50 разработчиков); - получишь менторство и поддержку (выделенный наставник); - изучишь передовые технологии. На наших проектах мы используем современный стек технологий; - изучишь методологии гибкой разработки (Scrum, Agile); - получишь профессиональные навыки, которые помогут поднять твой уровень до middle разработчика в считанные месяцы; - получишь опыт работы над проектами банков из ТОП-5.   Присоединяйся к нашей команде!  ",2021-10-06,"['Spring Framework', 'Java', 'Git', 'Hibernate ORM', 'Apache Maven']"
1,https://nn.hh.ru/vacancy/48565881?from=vacancy_search_list&query=java%20middle,Java разработчик,от 300 000 до 525 000 руб. до вычета налогов,HR Prime,True,Москва,"Полная занятость, полный день",1–3 года,False,False,"В крупную IT-компанию требуется Middle/Senior Java разработчик.    Один клик - шаг к мечте ;)     Требования:   Отличное знание Java, версия 8 и выше.   Опыт использования Spring, Spring Boot и Hibernate (от 1 года).   Опыт промышленной командной разработки (от 3-х лет).   Знание SQL и опыт работы с одной из промышленных СУБД – PostgreSQL, Oracle, MS SQL, etc.   Опыт работы с одной из интеграционных платформ обмена сообщениями – Kafka, Rabbit MQ, IBM WebSphere MQ, etc.   Условия:   Возможность присоединиться к очень молодой и быстрорастущей команде in-house разработки одного из крупнейших банков России;   Амбициозные интересные проекты;   Достойный уровень дохода + премии;   Добровольное медицинское страхование.        ",2021-10-06,"['Java', 'Spring Framework', 'SQL', 'Hibernate ORM', 'PostgreSQL']"
2,https://nn.hh.ru/vacancy/48572609?from=vacancy_search_list&query=java%20middle,Java middle developer,от 200 000 до 280 000 руб. на руки,HFLabs,True,Санкт-Петербург,"Полная занятость, гибкий график",1–3 года,False,False,"О продукте «Единый клиент» собирает и поддерживает эталонную клиентскую базу для маркетинга, продаж, аналитики и отчетности. Автоматически исправляет ошибки в клиентских данных, отделяет «плохие» данные от «хороших», находит и схлопывает дубли, идентифицирует взаимосвязи. Полезен компаниям с большой клиентской базой: банки, страховые, телеком, медицинские организации, интернет-магазины. «Единый клиент» уже обработал 15 млрд. записей и успешно конкурирует с enterprise-продуктами от Oracle и IBM. 100% собственная разработка HFLabs, 0% «индусского» кода. Мы выпускаем не меньше 12 релизов в год. Кроме разработчиков в команде аналитики, тестировщики и внедренцы. В разработку идут фичи с ясными требованиями от аналитиков, тестировщики не пропускают баги, а до заказчиков продукт доносят внедренцы. В команде плоская структура: нет начальников и подчинённых, нет тимлидов и архитекторов. Идеальный кандидат  Имеет опыт коммерческой разработки на Java не меньше двух лет (с упором на Backend). Знаком со Spring. Знает, что такое профайлер и не пугается слов Sampling, Thread Dump, Heap Dump и Bottleneck. Кроме wait(), notify() и syncronized знает, что есть ещё Barrier, CountDownLatch, BlockingQueue и многое другое. Сходу расскажет, чем отличается LEFT JOIN от RIGHT JOIN. Увидев документацию к библиотеке на английском, читает её, а не запихивает в онлайн-переводчик. Стремится писать код понятным и красивым. Не боится вынуть из постановщика задачи душу, если что-то непонятно. Если видит, как сделать лучше — предлагает. Любит тестировщиков, от багов не отпинывается.  Техническая сторона проекта  Java 11, Stream API, регулярно обновляемые библиотеки. Maven для сборки. Spring как основа проекта. Lucene в качестве быстрого полнотекстового кэша. Oracle DB, PostgreSQL в качестве основной БД. 99% стандартный SQL, никакой «логики на БД». Spring REST на сервере, JS на клиенте (клиентом занимается фронтенд-разработчик).  Какие не-рутинные задачи у нас бывают  Переобработать 100 миллионов физлизц по сложной бизнес-логике так, чтобы переобработка шла не больше 4 часов. Реализовать REST-сервис для интеграции, который будет держать 100 запросов в секунду даже на ""таком себе железе"". Придумать тестовый фреймворк под новый функционал.  Бонусы  Мощная техника (8+ ядер, 32+ оперативки, SSD, 2 монитора) в офисе или мощный ноутбук для удаленной работы. Удобное рабочее место с кондиционером. Гибкий график, возможна полная или частичная удаленная работа. Любые курсы и конференции по специальности.   ",2021-10-06,"['SQL', 'PostgreSQL', 'Java', 'Git', 'Apache Maven']"
3,https://nn.hh.ru/vacancy/45596328?from=vacancy_search_list&query=java%20middle,Middle Java Developer (удаленная работа),от 230 000 руб. на руки,ООО Крит,True,"Москва, 1-й Дербеневский переулок, 5","Полная занятость, удаленная работа",1–3 года,False,False,"




Работай на крупных IT‑проектах из дома или офиса


Java команда КРИТ активно растет, наш бизнес расширяется и появляется все больше новых проектов и интересных задач. Поэтому мы активно ищем талантливых программистов, которые помогут сделать нашу команду еще сильнее. Если вы цените качество и элегантность кода, стремитесь решать сложные технические задачи, проектировать высоконагруженные системы, тогда мы ждем вас!Чем предстоит заниматься:Проектирование и разработка back-end части распределенной high-load системы в микросервисной архитектуре.Что мы ожидаем от вас:отличные знания Java 8-11, Spring Framework и Spring Boot и опыт их применения для разработки распределенных систем;опыт работы c технологиями контейнеризации (Docker и т.п.) и с системами оркестрации (Kubernetes, OpenShift и т.п.);опыт проектирования или участие в разработке высоконагруженных и отказоустойчивых распределенных систем.Технологический стек:Java 11, Spring (Core, Data, WebMVC, Security);Docker/Kubernetes/OpenShift;PostgreSQL/Oracle/Redis/Couchbase;Kafka.Мы предлагаем:удалённый режим работы;трудоустройство по ТК РФ;полностью официальная зп.





",2021-10-07,"['Java', 'Spring Framework', 'Kafka', 'Kubernetes', 'Docker', 'Redis', 'ORACLE', 'Couchbase']"
4,https://nn.hh.ru/vacancy/48572764?from=vacancy_search_list&query=java%20middle,Java middle developer,от 200 000 до 280 000 руб. на руки,HFLabs,True,Нижний Новгород,"Полная занятость, гибкий график",1–3 года,False,False,"О продукте «Единый клиент» собирает и поддерживает эталонную клиентскую базу для маркетинга, продаж, аналитики и отчетности. Автоматически исправляет ошибки в клиентских данных, отделяет «плохие» данные от «хороших», находит и схлопывает дубли, идентифицирует взаимосвязи. Полезен компаниям с большой клиентской базой: банки, страховые, телеком, медицинские организации, интернет-магазины. «Единый клиент» уже обработал 15 млрд. записей и успешно конкурирует с enterprise-продуктами от Oracle и IBM. 100% собственная разработка HFLabs, 0% «индусского» кода. Мы выпускаем не меньше 12 релизов в год. Кроме разработчиков в команде аналитики, тестировщики и внедренцы. В разработку идут фичи с ясными требованиями от аналитиков, тестировщики не пропускают баги, а до заказчиков продукт доносят внедренцы. В команде плоская структура: нет начальников и подчинённых, нет тимлидов и архитекторов. Идеальный кандидат  Имеет опыт коммерческой разработки на Java не меньше двух лет (с упором на Backend). Знаком со Spring. Знает, что такое профайлер и не пугается слов Sampling, Thread Dump, Heap Dump и Bottleneck. Кроме wait(), notify() и syncronized знает, что есть ещё Barrier, CountDownLatch, BlockingQueue и многое другое. Сходу расскажет, чем отличается LEFT JOIN от RIGHT JOIN. Увидев документацию к библиотеке на английском, читает её, а не запихивает в онлайн-переводчик. Стремится писать код понятным и красивым. Не боится вынуть из постановщика задачи душу, если что-то непонятно. Если видит, как сделать лучше — предлагает. Любит тестировщиков, от багов не отпинывается.  Техническая сторона проекта  Java 11, Stream API, регулярно обновляемые библиотеки. Maven для сборки. Spring как основа проекта. Lucene в качестве быстрого полнотекстового кэша. Oracle DB, PostgreSQL в качестве основной БД. 99% стандартный SQL, никакой «логики на БД». Spring REST на сервере, JS на клиенте (клиентом занимается фронтенд-разработчик).  Какие не-рутинные задачи у нас бывают  Переобработать 100 миллионов физлизц по сложной бизнес-логике так, чтобы переобработка шла не больше 4 часов. Реализовать REST-сервис для интеграции, который будет держать 100 запросов в секунду даже на ""таком себе железе"". Придумать тестовый фреймворк под новый функционал.  Бонусы  Мощная техника (8+ ядер, 32+ оперативки, SSD, 2 монитора) в офисе или мощный ноутбук для удаленной работы. Гибкий график, возможна полная или частичная удаленная работа. Любые курсы и конференции по специальности.   ",2021-10-06,"['SQL', 'PostgreSQL', 'Java', 'Git', 'Apache Maven']"
5,https://nn.hh.ru/vacancy/48097705?from=vacancy_search_list&query=java%20middle,Java Developer (Middle/Senior),от 270 000 до 350 000 руб. на руки,EVEN Foundation,True,"Москва, Ленинский проспект, 109","Полная занятость, удаленная работа",3–6 лет,False,False,"Компания EVEN Lab входит в группу компаний, которая успешно развивается на IT рынке более 10 лет, разрабатывая собственные продукты и продукты партнеров.Мы специализируемся на разработке комплексных веб и мобильных приложений, информационной безопасности и цифровой трансформации для компаний из Fintech индустрии. На данный момент у нас есть офисы в Эстонии, Латвии и Казахстане, Армении, России, в 2022 году планируем открыть офис в Лондоне. Сейчас мы расширяем нашу команду и ищем сильного Java разработчика уровня Middle+/Senior. Чем предстоит заниматься:  Разработка, поддержка и развитие проектов на Java 16; Проектирование архитектуры приложений и баз данных; Оптимизация и рефакторинг кода; Решение исследовательских задач  Что нам необходимо:  Опыт разработки на Java не менее 3-х лет; Желание изучать и работать с использованием английского языка; Знания SQL/NoSQL; Опыт работы Spring (Data, Security, Web, Core); Опыт работы Hibernate ; Опыт работы с RabbitMQ, Redis; Понимание принципов REST-архитектуры, SOLID; Понимание микросервисной архитектуры  Преимущество  Jenkins и Docker; Опыт работы с трекером Jira.    Что мы предлагаем: —Работа над большими, интересными и долгосрочными проектами;— Удаленный формат работы, гибкое начало рабочего дня;—Официальное оформление согласно ТК с первого дня;—Профессиональный менеджмент (все имеют опыт разработки). Мы занимаем 2 место в рейтинге работодателей на Хабр.Карьера;—Performance Review каждые 6 месяцев ( по итогам проводится грейд ап), бонусы по итогам года;   Обучение по профильным направлениям за счет компании;   Отсутствие бюрократии;   — Уровень заработной платы с успешным кандидатом обсуждается индивидуально.",2021-10-05,"['Английский\xa0— B2 — Средне-продвинутый', 'Git', 'SQL', 'ООП', 'Spring MVC', 'Java Core', 'Spring Framework', 'Hibernate', 'Agile']"
6,https://nn.hh.ru/vacancy/48566449?from=vacancy_search_list&query=java%20middle,Java разработчик (Middle),от 250 000 руб. до вычета налогов,ООО Медэст,True,Москва,"Полная занятость, полный день",3–6 лет,False,False,"Ищем Java-разработчика на бэкенд-часть платформы doconline.ru Обязанности:   Анализ и изменение архитектуры текущей платформы в соответствии с требованиями по развитию бизнеса;   Анализ продуктовых требований, предварительная оценка сложности, участие в стратегическом планировании развития платформы;   Постановка задач на проектирование и разработку для команды, ревью качества оценки по задачам, ревью кода, планирование релизов;   Управление командой BE разработки: собеседование и найм сотрудников, менторство, мотивация, административные вопросы.   Требования   Отличное знание Java;   Опыт проектирования и работы с микросервисной архитектурой;   Опыт разработки и использования REST сервисов.   Опыт CI/CD (Docker, Jenkins, Ansible);   Опыт использования следующих фреймворков: Spring Boot, Spring WebFlux, Hibernate 5, JPA;   Опыт с системами сборки Maven;   Опыт работы с Git.  ",2021-10-06,"['Git', 'Hibernate ORM', 'Spring Framework', 'Java', 'Apache Maven', 'JPA', 'REST']"
7,https://nn.hh.ru/vacancy/48364497?from=vacancy_search_list&query=java%20middle,Middle Java-developer,от 150 000 до 180 000 руб. на руки,Группа BLcons,True,"Владимирская, Достоевская, Санкт-Петербург, Рубинштейна, 15/17 оф.103","Полная занятость, полный день",1–3 года,False,"Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП","Приглашаем опытного разработчика для разработки и поддержки Автоматизированной системы Восточно-Европейское бюро кредитных историй. У нас «небольшая, но гордая» петербургская команда, в рамках которой мы успешно развиваем и поддерживаем собственное приложение БКИ: работаем по всей России с 500+ организациями-источниками и пользователями кредитных историй (банки, МКК / КПК, другие потребители услуг Бюро – юр. лица). В рамках работы над проектом Вам предстоит расширение функционала АС нашего Бюро, поддержка протоколов обмена информацией с регулятивными органами и партнерами, оптимизация производительности. Обязанности:  проектирование, разработка, отладка новых сервисов; доработка, поддержка и исправление ошибок в уже существующих сервисах; работа с БД: сбор статистики / оптимизация; перечень основных технологий и окружения: Java 7+, Grails, Groovy, Spring, Hibernate, JS, PostgreSQL, Tomcat, Git.  Требования:  у нас небольшая команда, поэтому мы находимся в поисках full stack разработчика; умение самостоятельно работать с ОРД, проектировать оптимальные решения; опыт работы с PostgreSQL, опыт написания и оптимизации SQL-запросов; опыт коммерческой разработки от 1,5 лет; знания / опыт работы с ТЗКИ приветствуется.  Условия:  работа в офисе или удаленная занятость (по согласованию подберем комфортный вариант); 20+ или 40-часовая рабочая неделя (по согласованию подберем комфортный график); каждый специалист уникален, а потому уровень заработной платы обсуждается индивидуально; официальное трудоустройство; отсутствие бюрократии и лишнего формализма; красивый офис в самом центре Санкт-Петербурга (ст.м. Владимирская / Достоевская). ",2021-10-05,"['Git', 'PostgreSQL', 'Java', 'Hibernate ORM', 'Spring Framework']"
8,https://nn.hh.ru/vacancy/47198978?from=vacancy_search_list&query=java%20middle,Java-разработчик (middle),от 200 000 до 280 000 руб. на руки,HFLabs,True,Москва,"Полная занятость, удаленная работа",1–3 года,False,False,"О продукте «Единый клиент» собирает и поддерживает эталонную клиентскую базу для маркетинга, продаж, аналитики и отчетности. Автоматически исправляет ошибки в клиентских данных, отделяет «плохие» данные от «хороших», находит и схлопывает дубли, идентифицирует взаимосвязи. Полезен компаниям с большой клиентской базой: банки, страховые, телеком, медицинские организации, интернет-магазины. «Единый клиент» уже обработал 15 млрд. записей и успешно конкурирует с enterprise-продуктами от Oracle и IBM. 100% собственная разработка HFLabs, 0% «индусского» кода. Мы выпускаем не меньше 12 релизов в год. Кроме разработчиков в команде аналитики, тестировщики и внедренцы. В разработку идут фичи с ясными требованиями от аналитиков, тестировщики не пропускают баги, а до заказчиков продукт доносят внедренцы. В команде плоская структура: нет начальников и подчинённых, нет тимлидов и архитекторов. Идеальный кандидат  Имеет опыт коммерческой разработки на Java не меньше двух лет (с упором на Backend). Знаком со Spring. Знает, что такое профайлер и не пугается слов Sampling, Thread Dump, Heap Dump и Bottleneck. Кроме wait(), notify() и syncronized знает, что есть ещё Barrier, CountDownLatch, BlockingQueue и многое другое. Сходу расскажет, чем отличается LEFT JOIN от RIGHT JOIN. Увидев документацию к библиотеке на английском, читает её, а не запихивает в онлайн-переводчик. Стремится писать код понятным и красивым. Не боится вынуть из постановщика задачи душу, если что-то непонятно. Если видит, как сделать лучше — предлагает. Любит тестировщиков, от багов не отпинывается.  Техническая сторона проекта  Java 11, Stream API, регулярно обновляемые библиотеки. Maven для сборки. Spring как основа проекта. Lucene в качестве быстрого полнотекстового кэша. Oracle DB, PostgreSQL в качестве основной БД. 99% стандартный SQL, никакой «логики на БД». Spring REST на сервере, JS на клиенте (клиентом занимается фронтенд-разработчик).  Какие не-рутинные задачи у нас бывают  Переобработать 100 миллионов физлизц по сложной бизнес-логике так, чтобы переобработка шла не больше 4 часов. Реализовать REST-сервис для интеграции, который будет держать 100 запросов в секунду даже на ""таком себе железе"". Придумать тестовый фреймворк под новый функционал.  Бонусы  Мощная техника (8+ ядер, 32+ оперативки, SSD, 2 монитора) в офисе или мощный ноутбук для удаленной работы. Удобное рабочее место с кондиционером. Гибкий график, возможна полная или частичная удаленная работа. Кофе, чай, фрукты, печеньки. Просторный и тихий офис рядом с м. Парк культуры, кабинет на 2-4 человека. Небольшой коллектив, 40 человек. Любые курсы и конференции по специальности. ",2021-10-06,"['SQL', 'Java', 'Lucene', 'Spring Framework']"
9,https://nn.hh.ru/vacancy/46556960?from=vacancy_search_list&query=java%20middle,Разработчик Java (middle) -возможна удаленка,от 160 000 руб. на руки,"айФлекс, компания",True,Москва,"Полная занятость, полный день",1–3 года,False,False,"«айФлекс» – один из лидеров в области внедрения специализированных IT-решений для операторов связи, банков, ритейла и промышленных производств. «айФлекс» – это уникальная команда профессионалов, обладающих многолетним опытом в реализации масштабных комплексных IT-проектов для ведущих компаний России и СНГ. Наши основные клиенты: ПАО Ростелеком, компания ""ТриколорТВ"", ритейл-холдинг ""Магнит"" и другие компании. Мы осуществляем разработку и внедрение высоконагруженных распределенных информационных систем масштаба предприятия (в случае с проектами в ПАО Ростелеком -федерального масштаба), поставку готовых решений, анализ и оптимизацию бизнес-процессов, реинжиниринг информационных систем. Оказываем услуги консалтинга в области разработки ПО и интеграционных решений, оптимизации процесса разработки. Использование передовых информационных технологий, наш опыт и знания позволяют браться за самые сложные с технической точки зрения задачи. Работа у нас предоставляет обширные возможности для профессионального и карьерного роста, а царящая в офисе комфортная и дружелюбная атмосфера заряжает энтузиазмом и вдохновляет к новым достижениям. Обязанности:  Разработка интеграционных решений и backend для систем самообслуживания (ЛК, МП)  Требования: Языки программирования:  Java 8/11 — средний уровень; SQL — базовый уровень.  Фреймворки и библиотеки:  Java EE (EJB, JMS, JMX, Servlets, JDBC, JPA) – средний уровень Spring 5 — средний уровень; Spring Boot Data JPA — средний уровень; Spring Boot Web MVC/REST — средний уровень; Spring Boot 2 — средний уровень; Hibernate 5 — базовый уровень; ActiveMQ – средний уровень  Инструменты:  Системы контроля версий (git, gitlab, svn) – базовый уровень Системами сборки (maven) – средний уровень  Методики  Clean code — средний уровень; Code Review - базовый уровень Паттерны проектирования – базовый уровень; SOA и микросервисные архитектуры – базовый уровнь; Git flow — базовый уровень.    Условия:  Официальное трудоустройство согласно ТК РФ; Белая заработная плата; Возможность обучения за счет компании; ДМС; Тренажеры на территории офиса; Мини кухня на территории офиса; Офис в 10 минутах пешком от ст. м. Серпуховская/Павелецкая/Добрынинская. ",2021-10-07,"['Java EE', 'SOAP', 'Java', 'Git', 'EJB', 'REST', 'Spring Framework', 'SOA']"
