,url,title,salary,company_name,company_verified,adress,employment_mode,experience,parttime,accept_temporary,description,creation-time,tag
0,https://nn.hh.ru/vacancy/51635190,Разработчик Unity3D,з/п не указана,IceCat,False,"Пенза, улица Захарова, 19","Полная занятость, удаленная работа",3–6 лет,False,False,"Требуемый опыт работы: от 3 лет Полная занятость, удаленная работа Компания IceCat ищет опытного разработчика Unity3D для участия в разработке мобильных проектов компании. Никакого аутсорса - только свои игры. Вам предстоит поддерживать и развивать существующие проекты, а также участвовать в разработке новых с нуля. Сейчас нам требуется разработчик на этот проект: https://play.google.com/store/apps/details?id=com.icecat.jam.google Требования:  Опыт разработки мобильных игр с использованием Unity 3D (C#) от 3х лет. Совсем отлично, если это казуальные 2D игры. Отличное понимание особенностей работы движка Unity 3D на мобильных платформах и сборки под них. Умение писать понятный, поддерживаемый код Опыт оптимизации игр для iOS/Android устройств Умение разбираться в чужом коде, проводить рефакторинг Все как обычно - технический английский, Git и т.д. Умение работать в команде с коллегами разного уровня - помогать менее опытным, продуктивно сотрудничать с равными    Дополнительно приветствуется:  Умение писать свои и использовать чужие шейдеры. Опыт работы со сторонними плагинами (IAP, реклама, аналитика, визуальные эффекты и т.д.). Знание особенностей архитектуры мобильных игр и опыт ее проектирования.  Условия:  Заработная плата по рынку, все обсуждаемо и зависит от уровня и личных качеств соискателя. Бонусы по итогам запуска апдейтов и новых проектов. Офис в центре Пензы. Оформление по ТК. ",Вакансия опубликована 24 января 2022 в Пензе,['Unity']
1,https://nn.hh.ru/vacancy/50702952,Unity 3D Developer,от 230 000 до 280 000 руб. на руки,ООО Джае Риг,False,"Москва, Водный стадион","Полная занятость, удаленная работа",1–3 года,False,False,"Gyre Rig - молодая команда с богатым профессиональным опытом и амбициозными целями. Мы ищем к себе в команду талантливого и опытного Unity 3D разработчика, обладающего самодисциплиной и умением работать в команде над общей целью. Вам предстоит работать над мобильной игрой в жанре Puzzle-RPG в современном сеттинге. Что будем делать:  Разработка игр на Unity3D для iOS и Android; Реализация игровой бизнес-логики; Вёрстка игровых интерфейсов; Построение базовой архитектуры приложения;  Что понадобится:  Страсть и жажда делать выдающиеся, успешные игры! Опыт разработки мобильных игр на Unity от 2 лет; Хорошее знание C#, понимание принципов ООП; Хорошая алгоритмическая и математическая база; Знание паттернов проектирования и умение применять их практике; Понимание взаимодействия ""клиент-сервер""; Уверенное владение Git; Богатый игровой опыт в мобильных играх; Будет плюсом топовый прогресс в RPG/CCG/Battler мобильных играх; Будет плюсом опыт разработки нативных приложений для Android и iOS; Будет плюсом знания Java/Kotlin/Objective-C/Swift/C++; Будет плюсом опыт разработки шейдеров в среде Unity3D;  Мы предлагаем:  Удаленная работа или гибридная удаленка (несколько дней в неделю в офисе); Официальное оформление; Интересные задачи и мало легаси; Высокая заработная плата по результатам собеседования; Отличная профессиональная команда; Профессиональный и зарплатный рост; Ежегодный пересмотр заработной платы; Оплачиваемое обучение; Реферальная бонусная система; ",Вакансия опубликована 23 января 2022 в Москве,['Unity']
2,https://nn.hh.ru/vacancy/50931432,3D-моделлер (3D artist / gamedev hyper-casual),от 60 000 до 120 000 руб. на руки,Syazan OU,False,Москва,"Полная занятость, удаленная работа",1–3 года,False,False,"БЕЗ ССЫЛКИ НА ПОРТФОЛИО РЕЗЮМЕ НЕ РАССМАТРИВАЮТСЯ!!! Что мы предлагаем тебе:  - Плавающее начало рабочего дня - Удаленная работа - Возможность посещать профильные конференции, обучаться на онлайн-курсах - Отсутствие бюрократии и гибкость команды с прицелом на результат. Что мы ждем от тебя: - Опыт работы и навыки в 3D-анимации (персонажи, элементы окружения) - Наличие портфолио (примеров работ); - Навыки работы в одной из специализированных программ (Maya, 3Ds Max, Blender); - Понимание процессов Pipeline и подготовки файлов для следующих специалистов (в основном Unity); - Рабочее место для удалённой работы (Наличие ПК, спец. программ, гарнитуры и стабильного интернета); Очень важно! Уметь организовывать своё рабочее время. Работа дистанционная. Будет плюсом: - Опыт работы в zbrush. - Понимание или опыт работы в Unity - Опыт и навыки работы с 3D мультипликацией Обязанности: Выполнение заданий по своему направлению (3d моделирование, 3D-анимация: rigging, skinning, animation); Передача готовой работы следующему звену; Соблюдение Deadline Если ты готов к развитию, к работе над крутыми проектами, тогда тебе точно к нам! Откликайся и мы обязательно с тобой связемся!    ",Вакансия опубликована 23 января 2022 в Москве,['ZBrush']
3,https://nn.hh.ru/vacancy/51645542,Unity Developer,от 70 000 руб. на руки,ООО Модум Лаб,False,"Санкт-Петербург, Балтийская, Технологический институт, Технологический институт 2","Полная занятость, полный день",1–3 года,False,False,"Компания Modum Lab – один из главных игроков на рынке технологий виртуальной и дополненной реальности для бизнеса и образования. Мы делаем инновации привычной практикой для наших клиентов, создаем проекты и продукты, развивающие человеческий капитал и бизнес. Наши сотрудники – наш главный капитал. Мы дружная, активная команда с очень амбициозной миссией. Работа в Modum Lab открывает много разнообразных задач и вдохновляющего опыта для активного и стремящегося к новому человека! Сейчас мы ищем в команду Middle Unity Developer. На этой позиции мы доверим тебе: — активную продуктовую разработку на С# в Unity — взаимодействие с другими участниками разработки (менеджеры, художники, дизайнеры и т.п.)— участие в формировании общих инструментов и подходов От соискателей мы ожидаем:  — уверенные знания Unity и С# — опыт работы с системами контроля версий (Git, Mercurial) — опыт разработки клиент-серверных приложений — английский язык на уровне чтения технической литературы — ответственность, внимание к мелочам, желание обучаться и развиваться Преимуществом будет:  — опыт работы над проектами с использованием AR и VR — опыт работы на Unity с мобильными платформами Мы рады предложить:  — Официальное оформление по ТК РФ (белая зарплата, больничные, отпуска) — Крутой офис в самом центре города (три станции метро поблизости) и возможность удаленной работы — Доброжелательная атмосфера в студии и кикер — Широкое поле для самореализации, перспективы профессионального и карьерного роста — Гибкое начало рабочего дня, комфортный график Для данной вакансии мы подготовили тестовое задание. Уровень дохода готовы обсуждать с успешным кандидатом :)",Вакансия опубликована 24 января 2022 в Санкт-Петербурге,['Unity']
4,https://nn.hh.ru/vacancy/50889141,Middle Unity Developer/Unity-разработчик (удаленно),от 130 000 руб. на руки,ООО Планоплан,False,Санкт-Петербург,"Полная занятость, удаленная работа",3–6 лет,False,False,"Привет! Мы - компания Planoplan, и мы ищем талантливого и сообразительного Unity разработчика!   Немного о нас   Мы — Разработчики профессионального инструмента для создания дизайна интерьера. Плюсом у нас за плечами создание 3D- и VR- продуктов для строительной отрасли в России и за рубежом. Успешно работаем в формате SCRUM, так что слово КОМАНДА для нас не пустой звук! Продукты Planoplan — это стек технологий: C#, WebGL, Unity3D, Laravel, extJS. Мы расширяем его, когда понимаем потенциальную эффективность внедрения фреймворков и подходов.   Что будем делать:   Поддерживать проекты   Заниматься рефакторингом   Производить оптимизацию   Писать unit-тесты     ​​Что мы ждем от Вас:   Опыт работы на Unity от 3 лет   Умеете разбираться в чужом коде и пишите свой понятный код с комментариями   Умеете составлять документации   Обладаете уверенным знанием С#, .Net, Mono, ООП   Работаете с Git   Знаете английский на уровне чтения документации   Понимаете структуры 3D-моделей   Будет большим плюсом:   Знаете рендеры V-Ray, Corona   Обладаете опытом разработки под мобильные платформы   Умеете работать по Scrum     Мы за равноценный обмен, поэтому от нас:   Оформление по ТК РФ, оплачиваемый больничный, отпуск.   Конкурентоспособный официальный доход   Гибкость рабочего дня с 9:00-11:00 до 18:00-20:00 (пятидневка).   Среда для профессионального роста - в нашей команде Ты круто прокачаешь свои навыки.  Также с нашей стороны не будет невыполнимых сроков (сроки определяете Вы сами)  Работа удаленно, но есть оборудованное, комфортное и тихое рабочее место, если очень сильно необходимо.   Офис рядом с новым торговым центром «Охта-Молл» (от ст. метро «Ладожская» бесплатная развозка).   СКОРЕЕ КЛИКАЙТЕ НА КНОПОЧКУ ""ОТКЛИКНУТЬСЯ"" - МЫ ЖДЕМ ВАС В НАШУ КОМАНДУ!  ",Вакансия опубликована 22 января 2022 в Санкт-Петербурге,['Английский\xa0— B1 — Средний']
5,https://nn.hh.ru/vacancy/47472801,Юнити-разработчик Junior (Unity developer),от 20 000 до 45 000 руб. на руки,ALLEMO LTD,False,Москва,"Полная занятость, удаленная работа",1–3 года,False,"Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП","Привет! Планируешь работать, или уже работаешь в GameDev'е? - Отлично! Добро пожаловать в классную команду идейных людей, одержимых играми! Мы создаем гиперказуальные игры на платформе Unity! Отзыв на вакансию будет рассмотрен, если: 1. Ты прислал ссылку на геймплеи твоих свежих работ. Будет круто, если ты укажешь лучшие из них. 2. В сопроводительном письме ВАЖНО подробно расписать следующее: - С чем именно есть опыт работы в Unity? Какого уровня этот опыт по твоему мнению? Чтобы ты хотел еще изучить в Unity? - Какие конкретно задачи выполнялись тобой? - Работал ли ты в одиночку, или у тебя был командный опыт? - Укажи список проектов и какую роль ты в них выполнял? Обязанности:  Работа с движком Unity - создание новых проектов, создание прототипов, создание и настройка игровых сцен, интерфейса. Импорт и настройка ассетов, оптимизация. Программирование - реализация логики систем проекта, разработка архитектуры с нуля, создание новых фич, интеграция сторонних сервисов (аналитика, реклама и т.д.), программная оптимизация. Работа с системой контроля версий (GitHub) Работа с командой, используя сервисы: GitHub, Notion, Discord и другие  Требования:  Обязательное наличие хотя бы одного собственного проекта в 3D Уверенные знания движка Unity. Уровень самостоятельной разработки хотя бы одной механики. Уверенные знания C#, принципов разработки, ООП. Выраженный хороший стиль программирования. Навыки построения качественной архитектуры проекта.  Дополнительным плюсом будет:  Хороший уровень владения английского языка. Множество собственно выпущенных проектов в 3D Опыт мобильной разработки и оптимизации, с использованием Unity Опыт интеграции сервисов (IAP, Ads, Analytics, и т.д.)  Условия:  Выполнение тестового задания, Оплата 2 раза в месяц. Большие возможности карьерного роста. Заключение договора. Возможность размещения в своем портфолио большинства игр, над которыми будешь работать. Распределенная команда. В нашей компании мы ценим достигаемый результат, а не просиженное за работой время.  Наш слоган: ""Пусть все играют!""  ",Вакансия опубликована 24 января 2022 в Москве,['ООП']
6,https://nn.hh.ru/vacancy/50870384,Junior/Middle Unity Developer,от 50 000 до 150 000 руб. до вычета налогов,ООО Смарттех,False,Воронеж,"Полная занятость, полный день",не требуется,False,False,"Обязанности:  Реализация игровых фичей и механик геймплея; Верстка игровых интерфейсов; Работа над физикой игровых объектов; Работа с графической частью проекта: программная анимация, визуальные эффекты и прочее;  Требования:  Опыт коммерческой разработки на Unity3D; Уверенное знание С#, основных структур данных, понятия сложности операций, Unity3D; Понимание принципов SOLID;  Мы предлагаем:  стабильность: работу в компании с устойчивой репутацией и успешным опытом присутствия на рынке; возможность самостоятельно решать, что делать и как — никакого микроменеджмента отсутствие бюрократии и застоя профессиональный рост участие в разнообразных, разноплановых проектах; достойный уровень заработной платы; официальное трудоустройство и социальный пакет в соответствии с трудовым законодательством РФ; ",Вакансия опубликована 22 января 2022 в Воронеже,['Unity']
7,https://nn.hh.ru/vacancy/48806768,Программист Unity3D,от 100 000 до 140 000 руб. на руки,ООО УЛИТКА,False,"Москва, Свиблово","Полная занятость, полный день",1–3 года,False,False,Обязанности: Заниматься разработкой игр. Требования: - Знание C#;- Знание и опыт работы с Unity;- Общий опыт программирования не менее 3-х лет;- Системное мышление и высокая степень самоорганизации. Условия: - Интересные и нетривиальные задачи;- Уровень заработной платы 100 000-140 000 рублей;- График работы 5/2;- Комфортный офис рядом с метро Свиблово (1 минута от метро );- ДМС.,Вакансия опубликована 23 января 2022 в Москве,['Unity']
8,https://nn.hh.ru/vacancy/50946533,Junior Unity Developer,з/п не указана,DouDouGames,False,Москва,"Полная занятость, удаленная работа",1–3 года,False,False,"Международная компания DouDouGames уже 8 лет разрабатывает игры в жанре match-3. У нас разнообразный портфель проектов и огромный опыт в разработке игр. Мы верим, что залог успеха - это здоровая рабочая атмосфера и профессионалы, которые любят свое дело! Поэтому ценим каждого сотрудника и даем возможность раскрыться и проявить себя. Для реализации наших амбициозных целей мы ищем талантливого Junior Unity программиста, готового работать в нашей команде. Что предстоит:  Работать над мета частью матч-3 проекта в сеттинге тропического острова! В зависимости от интересов мы можем предложить работу как над сложной логикой игры так и над UI  Мы предлагаем:  Понятные цели и задачи Итеративную разработку без нереальных сроков Отличную расширяемую архитектуру проекта без костылей и временных решений Крутую и опытную команду Кодревью  Наш кандидат обладает:  Знанием C# Опытом работы в Unity3d Умением работать с системами контроля версий Знанием принципов ООП, SOLID Знанием паттернов проектирования  Преимущества работы в нашей компании:  У нас не только гибкое рабочее время, но и сокращенный рабочий день! Мы эффективно работаем 8 часов, что в итоге экономит +20 ваших часов в месяц на личные интересы Работать удаленно, либо в офисе? Решать вам, а мы поддержим ваш выбор! (офис Москва, м. Алексеевская) Мы заботимся о наших сотрудниках, поэтому компенсируем 50% расходов на здоровье, спорт, обучение и др. У нас приятная творческая атмосфера, которая позволяет раскрыть потенциал сотрудников. Мы поддерживаем их развитие, проводим лекции/вебинары от собственных и приглашенных экспертов Конкурентная заработная плата и ее пересмотр, в соответствии с вашим профессиональным ростом ",Вакансия опубликована 23 января 2022 в Москве,['Unity']
9,https://nn.hh.ru/vacancy/49912344,Middle Unity разработчик / Unity3d,от 100 000 руб. на руки,Skytec Games,False,"Новосибирск, Советский район, микрорайон Академгородок, улица Лыкова, 11/1","Полная занятость, удаленная работа",1–3 года,False,False,"Skytec Games - один из ведущих игровых разработчиков Сибири. 9 лет на рынке, собственные продукты, офисы в Новосибирске и США, более 90 миллионов установок игр по всему миру и 3 миллионная месячная аудитория игроков. Уровень зарплаты зависит от квалификации и обсуждается по результатам собеседования. Задачи:  Разработка игр на Unity для мобильных платформ iOS и Android  Реализация игровых механик   Имплементация UI, анимации, графических эффектов в продуктах   Интеграция различных сервисов, SDK   Поиск и исправление багов   Требования:  Опыт работы на Unity от 1 года Умение разбираться в чужом коде Умение решать технические задачи    Знание ООП, структур данных и базовых алгоритмов   Уверенное знание C#   Умение быстро и качественно решать поставленные задачи   Умение четко формулировать и выражать свои мысли   Высшее образование или последние курсы университета   Желание делать классные игры   Желание учиться и развиваться как профессионал   Работа в Skytec Games — это:  ​​​Интересные и сложные задачи  Возможность учиться у профессиональных коллег   Белая зарплата и официальное трудоустройство   Гибкий график работы   Оплачиваемый отпуск и больничный   Компенсация посещения спортзалов   Комфортный офис, собственное 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой   Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4   Крутые корпоративы и тематические вечеринки   Мы ждем от Вас:  Резюме  Готовность выполнить тестовое задание  ",Вакансия опубликована 23 января 2022 в Санкт-Петербурге,[]
